ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABBV34,ABBVIE,DRN,283303520,1.027,94628201.22900066,2.9938592969172504,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
ADBE34,ADOBE INC,DRN,224000000,0.739,94628201.22900066,2.367159019095365,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
A1MD34,ADVANCED MIC,DRN,129262960,0.714,94628201.22900066,1.3660088464239437,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
AIRB34,AIRBNB,DRN,87617440,0.152,94628201.22900066,0.9259125594912812,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
A1LB34,ALBEMARLE CO,DRN,28205928,0.028,94628201.22900066,0.2980710573980111,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
BABA34,ALIBABAGR,DRN,712158720,0.634,94628201.22900066,7.525861326229512,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
GOGL34,ALPHABET,DRN A,707160000,2.882,94628201.22900066,7.473036481890528,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
GOGL35,ALPHABET,DRN C,680520000,2.795,94628201.22900066,7.191513641405257,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
AMZO34,AMAZON,DRN,2077476258,5.509,94628201.22900066,21.954092236969593,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
AALL34,AMERICAN AIR,DRN,6535406,0.02,94628201.22900066,0.0690640413229909,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
AXPB34,AMERICAN EXP,DRN,7360000,0.055,94628201.22900066,0.07777808205599056,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
T1OW34,AMERICAN TOW,DRN,112070856,0.307,94628201.22900066,1.1843282926702585,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
AAPL34,APPLE,DRN ED,3088376000,10.431,94628201.22900066,32.63695135159673,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
A1MT34,APPLIED MATE,DRN,83089740,0.517,94628201.22900066,0.8780653010503969,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
ARMT34,ARCELOR,DRN,17056196,0.057,94628201.22900066,0.18024432228954593,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
A1DM34,ARCHER DANIE,DRN,5017635,0.088,94628201.22900066,0.05302473189633291,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
ASML34,ASML HOLD,DRN,219771530,1.098,94628201.22900066,2.3224739258030693,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
A1ZN34,ASTRAZENECA,DRN ED,186027720,0.783,94628201.22900066,1.9658803357131571,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
ATTB34,ATT INC,DRN,71530000,0.138,94628201.22900066,0.7559057349816583,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
BIDU34,BAIDU INC,DRN,39907686,0.075,94628201.22900066,0.4217314234202046,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B1SA34,BANCO SANTAN,DRN,9422306,0.028,94628201.22900066,0.09957185994900165,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
BOAC34,BANK AMERICA,DRN,314676000,0.93,94628201.22900066,3.3253934441645225,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
BERK34,BERKSHIRE,DRN,14380000,0.095,94628201.22900066,0.1519631548865685,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B2YN34,BEYOND MEAT,DRN,12968984,0.001,94628201.22900066,0.13705199751831912,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B1IL34,BILIBILI INC,DRN,16877315,0.014,94628201.22900066,0.178353966162337,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B2HI34,BILL HOLD,DRN,189242820,0.016,94628201.22900066,1.9998564650091102,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B1NT34,BIONTECH SE,DRN,38036112,0.061,94628201.22900066,0.4019532391612564,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
BLAK34,BLACKROCK,DRN,98181270,0.388,94628201.22900066,1.0375476731550768,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
S2QU34,BLOCK INC.,DRN,138795000,0.109,94628201.22900066,1.4667403395327732,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
BKNG34,BOOKING,DRN,59799302,0.369,94628201.22900066,0.631939540468337,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B1PP34,BP PLC,DRN ED,112158520,0.286,94628201.22900066,1.1852546972606601,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
B1TI34,BRITISH AMER,DRN,111533500,0.241,94628201.22900066,1.1786496895369325,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
AVGO34,BROADCOM INC,DRN,3243948400,2.297,94628201.22900066,34.280989788124906,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
C1CL34,CARNIVAL COR,DRN,11194460,0.052,94628201.22900066,0.1182994060397424,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
CATP34,CATERPILLAR,DRN,79900363,0.514,94628201.22900066,0.8443610040376945,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
CHCM34,CHARTER COMM,DRN,86631720,0.152,94628201.22900066,0.9154957916863585,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
CHVX34,CHEVRON,DRN ED,185726916,0.814,94628201.22900066,1.9627015370453895,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
CSCO34,CISCO,DRN,202459350,0.6,94628201.22900066,2.139524448003059,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
CTGP34,CITIGROUP,DRN,114682020,0.352,94628201.22900066,1.2119222230851563,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
COCA34,COCA COLA,DRN,258747370,0.886,94628201.22900066,2.7343579042977924,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
C2OI34,COINBASEGLOB,DRN,48882775,0.12,94628201.22900066,0.5165772398199081,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
COLG34,COLGATE,DRN,57620564,0.251,94628201.22900066,0.6089153471337576,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
CMCS34,COMCAST,DRN,198120650,0.47,94628201.22900066,2.093674479984536,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
COPH34,COPHILLIPS,DRN ED,140532120,0.393,94628201.22900066,1.4850976577258577,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
COWC34,COSTCO,DRN,177401600,1.167,94628201.22900066,1.8747223100086976,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
C2RW34,CROWDSTRIKE,DRN,45805584,0.162,94628201.22900066,0.4840584879041533,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
DHER34,DANAHER CORP,DRN,207352376,0.596,94628201.22900066,2.1912323525859523,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
DEEC34,DEERE CO,DRN,83507460,0.314,94628201.22900066,0.882479629914042,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
DEOP34,DIAGEO PL,DRN,100112724,0.214,94628201.22900066,1.0579586497446651,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
DGCO34,DOLLAR GENER,DRN,52721112,0.081,94628201.22900066,0.5571395346765039,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
E1CO34,ECOPETROL SA,DRN,41116700,0.064,94628201.22900066,0.4345078894662428,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
EQIX34,EQUINIX INC,DRN,75924168,0.235,94628201.22900066,0.8023418707522844,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
E1QN34,EQUINOR ASA,DRN ED,60062100,0.253,94628201.22900066,0.6347167041107488,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
EXXO34,EXXON MOBIL,DRN ED,316660880,1.401,94628201.22900066,3.346369009315514,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
FSLR34,FIRST SOLAR,DRN,2140510,0.072,94628201.22900066,0.022620212285552766,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
FDMO34,FORD MOTORS,DRN,39214530,0.123,94628201.22900066,0.4144063766477043,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
F2NV34,FRANCONEVADA,DRN,345915000,0.07,94628201.22900066,3.6555170182605945,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
GEOO34,GEAEROSPACE,DRN,10932670,0.554,94628201.22900066,0.11553289461291662,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
GMCO34,GENERAL MOT,DRN,46177320,0.157,94628201.22900066,0.4879868728377356,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
GSGI34,GOLDMANSACHS,DRN,97358130,0.489,94628201.22900066,1.0288489978203528,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
HOME34,HOME DEPOT,DRN,277488540,1.075,94628201.22900066,2.932408482841986,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
HPQB34,HP COMPANY,DRN,9784800,0.105,94628201.22900066,0.10340257843769789,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
ITLC34,INTEL,DRN,255412320,0.264,94628201.22900066,2.699114182482462,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
JDCO34,JD COM,DRN,82119000,0.12,94628201.22900066,0.8678068370048762,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
JNJB34,JOHNSON,DRN,24090000,0.077,94628201.22900066,0.2545752712946756,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
JPMC34,JPMORGAN,DRN,287209100,1.842,94628201.22900066,3.0351321938895652,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
K2CG34,KINGSOFT CHL,DRN,15221142,0.002,94628201.22900066,0.16085206949210384,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
KHCB34,KRAFT HEINZ,DRN,12130000,0.031,94628201.22900066,0.12818588795369096,2024-08-19,2024-08-19,CARTEIRA_TEORICA_B3_BDRX
