ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
MMMC34,3M,DRN ED,22092680,0.172,OTHERS,OTHERS,OTHERS,95367899.53289524,0.23165740367784418,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
ABBV34,ABBVIE,DRN,282485920,1.067,OTHERS,OTHERS,OTHERS,95367899.53289524,2.9620650279978347,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
ADBE34,ADOBE INC,DRN,227650000,0.853,OTHERS,OTHERS,OTHERS,95367899.53289524,2.3870715525351036,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1MD34,ADVANCED MIC,DRN,129239920,0.954,OTHERS,OTHERS,OTHERS,95367899.53289524,1.3551721347854715,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
AIRB34,AIRBNB,DRN,86949000,0.228,OTHERS,OTHERS,OTHERS,95367899.53289524,0.9117218731446286,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1LB34,ALBEMARLE CO,DRN,28164792,0.049,OTHERS,OTHERS,OTHERS,95367899.53289524,0.2953278004228784,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BABA34,ALIBABAGR,DRN,712158720,0.643,OTHERS,OTHERS,OTHERS,95367899.53289524,7.467488782788544,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
GOGL34,ALPHABET,DRN A,710160000,2.831,OTHERS,OTHERS,OTHERS,95367899.53289524,7.446530787385588,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
GOGL35,ALPHABET,DRN C,687000000,2.76,OTHERS,OTHERS,OTHERS,95367899.53289524,7.2036817772528705,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
AMZO34,AMAZON,DRN,2066806117,5.951,OTHERS,OTHERS,OTHERS,95367899.53289524,21.67192658245657,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
AALL34,AMERICAN AIR,DRN,6535406,0.033,OTHERS,OTHERS,OTHERS,95367899.53289524,0.06852836260429268,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
AXPB34,AMERICAN EXP,DRN,7330000,0.053,OTHERS,OTHERS,OTHERS,95367899.53289524,0.0768602437078072,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
T1OW34,AMERICAN TOW,DRN,111879624,0.297,OTHERS,OTHERS,OTHERS,95367899.53289524,1.173137130501751,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1IV34,APARTMENT IN,DRN,1457597,0.004,OTHERS,OTHERS,OTHERS,95367899.53289524,0.015283937332574167,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
AAPL34,APPLE,DRN ED,3110550000,9.636,OTHERS,OTHERS,OTHERS,95367899.53289524,32.61632074560978,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1MT34,APPLIED MATE,DRN,83653390,0.572,OTHERS,OTHERS,OTHERS,95367899.53289524,0.8771650671738392,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
ARMT34,ARCELOR,DRN,17056196,0.079,OTHERS,OTHERS,OTHERS,95367899.53289524,0.17884630031215912,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1DM34,ARCHER DANIE,DRN ED,5556469,0.101,OTHERS,OTHERS,OTHERS,95367899.53289524,0.05826351452863243,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
ASML34,ASML HOLD,DRN,221726120,1.278,OTHERS,OTHERS,OTHERS,95367899.53289524,2.3249554733405873,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1ZN34,ASTRAZENECA,DRN,185991120,0.679,OTHERS,OTHERS,OTHERS,95367899.53289524,1.9502486781293333,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
ATTB34,ATT INC,DRN,71500000,0.138,OTHERS,OTHERS,OTHERS,95367899.53289524,0.7497281616791561,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BIDU34,BAIDU INC,DRN,39469458,0.102,OTHERS,OTHERS,OTHERS,95367899.53289524,0.41386523340996734,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
B1SA34,BANCO SANTAN,DRN,9422306,0.032,OTHERS,OTHERS,OTHERS,95367899.53289524,0.09879955463158717,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BOAC34,BANK AMERICA,DRN,316549280,0.916,OTHERS,OTHERS,OTHERS,95367899.53289524,3.319243493360286,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BERK34,BERKSHIRE,DRN,14440000,0.099,OTHERS,OTHERS,OTHERS,95367899.53289524,0.1514136315335247,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
B2YN34,BEYOND MEAT,DRN,12908182,0.002,OTHERS,OTHERS,OTHERS,95367899.53289524,0.13535143442629333,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
B1IL34,BILIBILI INC,DRN,16877315,0.012,OTHERS,OTHERS,OTHERS,95367899.53289524,0.17697060628014052,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
B2HI34,BILL HOLD,DRN,190173060,0.023,OTHERS,OTHERS,OTHERS,95367899.53289524,1.9940992821636345,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
B1NT34,BIONTECH SE,DRN,38034480,0.074,OTHERS,OTHERS,OTHERS,95367899.53289524,0.39881847231919765,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BLAK34,BLACKROCK,DRN,98183250,0.403,OTHERS,OTHERS,OTHERS,95367899.53289524,1.029520944478112,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
S2QU34,BLOCK INC.,DRN,138392250,0.124,OTHERS,OTHERS,OTHERS,95367899.53289524,1.4511407997642265,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BONY34,BNY MELLON,DRN,7820000,0.146,OTHERS,OTHERS,OTHERS,95367899.53289524,0.08199824089973429,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
BKNG34,BOOKING,DRN,61057272,0.443,OTHERS,OTHERS,OTHERS,95367899.53289524,0.6402287593525064,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
B1PP34,BP PLC,DRN ED,112745440,0.341,OTHERS,OTHERS,OTHERS,95367899.53289524,1.1822158247399663,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
A1LL34,BREAD FINAN,DRN ED,1973225,0.006,OTHERS,OTHERS,OTHERS,95367899.53289524,0.020690662263347592,2024-02-19,2024-02-18,CARTEIRA_TEORICA_B3_BDRX
