ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
MMMC34,3M,DRN,22092680,0.216,95527195.13908592,0.23127110523692698,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ABBV34,ABBVIE,DRN,282485920,0.99,95527195.13908592,2.95712566027617,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ADBE34,ADOBE INC,DRN,227650000,0.987,95527195.13908592,2.3830910105603498,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1MD34,ADVANCED MIC,DRN,129239920,0.844,95527195.13908592,1.3529123283880464,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AIRB34,AIRBNB,DRN,86949000,0.222,95527195.13908592,0.9102015386655473,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1LB34,ALBEMARLE CO,DRN,28164792,0.065,95527195.13908592,0.29483532892379555,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BABA34,ALIBABAGR,DRN ED,712158720,0.703,95527195.13908592,7.455036431909358,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
GOGL34,ALPHABET,DRN A,710160000,3.037,95527195.13908592,7.434113384843128,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
GOGL35,ALPHABET,DRN C,687000000,2.96,95527195.13908592,7.191669335624688,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AMZO34,AMAZON,DRN,2066806117,5.734,95527195.13908592,21.635787735531924,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AALL34,AMERICAN AIR,DRN,6535406,0.034,95527195.13908592,0.06841408868421776,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AXPB34,AMERICAN EXP,DRN,7330000,0.049,95527195.13908592,0.0767320760263886,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
T1OW34,AMERICAN TOW,DRN ED,111879624,0.365,95527195.13908592,1.1711808751121107,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1IV34,APARTMENT IN,DRN,1457597,0.004,95527195.13908592,0.015258450725762065,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AAPL34,APPLE,DRN,3110550000,10.879,95527195.13908592,32.56193166219414,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1MT34,APPLIED MATE,DRN,83653390,0.502,95527195.13908592,0.8757023576187088,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ARMT34,ARCELOR,DRN,17056196,0.089,95527195.13908592,0.17854806660204436,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1DM34,ARCHER DANIE,DRN,5556469,0.149,95527195.13908592,0.058166357673434026,JAN/2024 ATE ABR/2024 - 20231227,2023-12-31,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
