ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
MMMC34,3M,DRN,22079696,0.229,OTHERS,OTHERS,OTHERS,94692495.80193388,0.23317260584390545,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ABBV34,ABBVIE,DRN,282407520,1.014,OTHERS,OTHERS,OTHERS,94692495.80193388,2.9823643110083964,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ATVI34,ACTIVISION,DRN,7867983,0.267,OTHERS,OTHERS,OTHERS,94692495.80193388,0.08308982600329047,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ADBE34,ADOBE INC,DRN,227900000,0.958,OTHERS,OTHERS,OTHERS,94692495.80193388,2.406737704714143,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1MD34,ADVANCED MIC,DRN,129253680,0.669,OTHERS,OTHERS,OTHERS,94692495.80193388,1.3649833485259164,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AIRB34,AIRBNB,DRN,85271780,0.22,OTHERS,OTHERS,OTHERS,94692495.80193388,0.9005125409130732,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BABA34,ALIBABAGR,DRN,712158720,0.921,OTHERS,OTHERS,OTHERS,94692495.80193388,7.520751396072673,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
GOGL34,ALPHABET,DRN A,711960000,3.169,OTHERS,OTHERS,OTHERS,94692495.80193388,7.518652813726553,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
GOGL35,ALPHABET,DRN C,696120000,3.124,OTHERS,OTHERS,OTHERS,94692495.80193388,7.351374510774942,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AMZO34,AMAZON,DRN,2063550159,5.551,OTHERS,OTHERS,OTHERS,94692495.80193388,21.792119233146842,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A2MC34,AMC ENTERT H,DRN ERG,3530508,0.007,OTHERS,OTHERS,OTHERS,94692495.80193388,0.03728392593415937,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AALL34,AMERICAN AIR,DRN,6533624,0.037,OTHERS,OTHERS,OTHERS,94692495.80193388,0.068998329219944,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AXPB34,AMERICAN EXP,DRN,7364000,0.046,OTHERS,OTHERS,OTHERS,94692495.80193388,0.07776751407422093,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
T1OW34,AMERICAN TOW,DRN,111877320,0.332,OTHERS,OTHERS,OTHERS,94692495.80193388,1.1814803174478705,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AAPL34,APPLE,DRN,3126846000,11.494,OTHERS,OTHERS,OTHERS,94692495.80193388,33.02105381761562,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1MT34,APPLIED MATE,DRN ED,83974740,0.504,OTHERS,OTHERS,OTHERS,94692495.80193388,0.8868151513890608,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ARMT34,ARCELOR,DRN,17056196,0.09,OTHERS,OTHERS,OTHERS,94692495.80193388,0.18012193950063426,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ASML34,ASML HOLD,DRN,223561415,1.027,OTHERS,OTHERS,OTHERS,94692495.80193388,2.360920082491207,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1ZN34,ASTRAZENECA,DRN,185986320,0.837,OTHERS,OTHERS,OTHERS,94692495.80193388,1.9641083321853012,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
ATTB34,ATT INC,DRN,71490000,0.138,OTHERS,OTHERS,OTHERS,94692495.80193388,0.7549700680562268,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BIDU34,BAIDU INC,DRN,39469458,0.158,OTHERS,OTHERS,OTHERS,94692495.80193388,0.41681716872852687,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
B1SA34,BANCO SANTAN,DRN,9422306,0.035,OTHERS,OTHERS,OTHERS,94692495.80193388,0.09950425237189249,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BOAC34,BANK AMERICA,DRN ED,317854880,0.886,OTHERS,OTHERS,OTHERS,94692495.80193388,3.356706118136856,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BERK34,BERKSHIRE,DRN,21840000,0.153,OTHERS,OTHERS,OTHERS,94692495.80193388,0.23064129649388718,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
B2YN34,BEYOND MEAT,DRN,12877158,0.003,OTHERS,OTHERS,OTHERS,94692495.80193388,0.13598921319947946,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
B1IL34,BILIBILI INC,DRN,16577315,0.02,OTHERS,OTHERS,OTHERS,94692495.80193388,0.17506471721554778,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
B1NT34,BIONTECH SE,DRN,38363392,0.113,OTHERS,OTHERS,OTHERS,94692495.80193388,0.4051365599259716,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BLAK34,BLACKROCK,DRN,98539716,0.406,OTHERS,OTHERS,OTHERS,94692495.80193388,1.0406285647609632,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
S2QU34,BLOCK INC.,DRN,137360175,0.121,OTHERS,OTHERS,OTHERS,94692495.80193388,1.4505919802484994,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BONY34,BNY MELLON,DRN,7787800,0.135,OTHERS,OTHERS,OTHERS,94692495.80193388,0.08224305351809041,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
BKNG34,BOOKING,DRN,62461280,0.433,OTHERS,OTHERS,OTHERS,94692495.80193388,0.6596222802137228,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
B1PP34,BP PLC,DRN,115024080,0.41,OTHERS,OTHERS,OTHERS,94692495.80193388,1.214711673041053,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
A1LL34,BREAD FINAN,DRN,2008964,0.008,OTHERS,OTHERS,OTHERS,94692495.80193388,0.021215662159777725,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
B1TI34,BRITISH AMER,DRN,111818300,0.29,OTHERS,OTHERS,OTHERS,94692495.80193388,1.180857036801393,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
AVGO34,BROADCOM INC,DRN,288879780,1.418,OTHERS,OTHERS,OTHERS,94692495.80193388,3.0507146057723853,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
C1CL34,CARNIVAL COR,DRN,11160140,0.073,OTHERS,OTHERS,OTHERS,94692495.80193388,0.11785664645848398,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
CATP34,CATERPILLAR,DRN,81622895,0.561,OTHERS,OTHERS,OTHERS,94692495.80193388,0.8619784947978215,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
CHCM34,CHARTER COMM,DRN,89802540,0.255,OTHERS,OTHERS,OTHERS,94692495.80193388,0.9483596270166741,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
CHVX34,CHEVRON,DRN,186724521,1.171,OTHERS,OTHERS,OTHERS,94692495.80193388,1.971904103051285,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
CSCO34,CISCO,DRN,203752900,0.907,OTHERS,OTHERS,OTHERS,94692495.80193388,2.1517322811533584,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
CTGP34,CITIGROUP,DRN,115542120,0.31,OTHERS,OTHERS,OTHERS,94692495.80193388,1.2201824339034932,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
COCA34,COCA COLA,DRN,259460688,1.013,OTHERS,OTHERS,OTHERS,94692495.80193388,2.740034316369778,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
C2OI34,COINBASEGLOB,DRN,47487575,0.058,OTHERS,OTHERS,OTHERS,94692495.80193388,0.5014924846772301,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
COLG34,COLGATE,DRN,57868407,0.239,OTHERS,OTHERS,OTHERS,94692495.80193388,0.6111192498404733,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
CMCS34,COMCAST,DRN,205784450,0.753,OTHERS,OTHERS,OTHERS,94692495.80193388,2.173186462741827,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
COPH34,COPHILLIPS,DRN,143698920,0.555,OTHERS,OTHERS,OTHERS,94692495.80193388,1.5175322899986894,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
COWC34,COSTCO,DRN ED,177259400,0.953,OTHERS,OTHERS,OTHERS,94692495.80193388,1.8719477029179736,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
DEEC34,DEERE CO,DRN,87957630,0.481,OTHERS,OTHERS,OTHERS,94692495.80193388,0.9288764569473272,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
D1VN34,DEVON ENERGY,DRN,6407000,0.125,OTHERS,OTHERS,OTHERS,94692495.80193388,0.0676611166042278,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
DEOP34,DIAGEO PL,DRN ED,102504654,0.37,OTHERS,OTHERS,OTHERS,94692495.80193388,1.0825002882425512,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_BDRX
