ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
A1DM34,ARCHER DANIE,DRN,5017635,0.097,94898435.08857132,0.05287373806867208,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A1LB34,ALBEMARLE CO,DRN,28205928,0.049,94898435.08857132,0.2972222668758935,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A1MD34,ADVANCED MIC,DRN,129262960,0.8,94898435.08857132,1.3621189841471602,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A1MT34,APPLIED MATE,DRN,83089740,0.564,94898435.08857132,0.8755649123449724,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A1ZN34,ASTRAZENECA,DRN,186027720,0.776,94898435.08857132,1.9602822725830538,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AALL34,AMERICAN AIR,DRN,6535406,0.03,94898435.08857132,0.06886737377597771,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AAPL34,APPLE,DRN,3088376000,9.285,94898435.08857132,32.54401399894038,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ABBV34,ABBVIE,DRN,283303520,0.951,94898435.08857132,2.985333949243578,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ADBE34,ADOBE INC,DRN,224000000,0.709,94898435.08857132,2.360418270237382,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AIRB34,AIRBNB,DRN,87617440,0.23,94898435.08857132,0.9232759203903018,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AMZO34,AMAZON,DRN,2077476258,6.347,94898435.08857132,21.891575515033878,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ARMT34,ARCELOR,DRN,17056196,0.073,94898435.08857132,0.1797310565140614,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ASML34,ASML HOLD,DRN ED,219771530,1.196,94898435.08857132,2.3158604227233166,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ATTB34,ATT INC,DRN ED,71530000,0.132,94898435.08857132,0.7537532092414283,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AVGO34,BROADCOM INC,DRN,324394840,1.967,94898435.08857132,3.418337085297912,MAI/2024 ATE AGO/2024,2024-08-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
