ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
A1MD34,ADVANCED MIC,DRN,16143210,0.642,OTHERS,OTHERS,OTHERS,92347442.3097416,0.17480949765619092,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A1UA34,ANGLOGOLD AS,DRN ED,16736324,0.028,OTHERS,OTHERS,OTHERS,92347442.3097416,0.1812321335751224,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A1ZN34,ASTRAZENECA,DRN,185938740,0.934,OTHERS,OTHERS,OTHERS,92347442.3097416,2.0134692997381,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
A2MC34,AMC ENTERT H,DRN,31009236,0.023,OTHERS,OTHERS,OTHERS,92347442.3097416,0.3357887909444448,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AALL34,AMERICAN AIR,DRN,6498459,0.042,OTHERS,OTHERS,OTHERS,92347442.3097416,0.07036966955948369,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AAPL34,APPLE,DRN,1607075000,12.407,OTHERS,OTHERS,OTHERS,92347442.3097416,17.402485221081992,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ABBV34,ABBVIE,DRN,17680960,1.197,OTHERS,OTHERS,OTHERS,92347442.3097416,0.1914612853130948,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ADBE34,ADOBE INC,DRN,234000000,0.853,OTHERS,OTHERS,OTHERS,92347442.3097416,2.5339088354514794,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AIRB34,AIRBNB,DRN,79833400,0.224,OTHERS,OTHERS,OTHERS,92347442.3097416,0.8644895624962912,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AMZO34,AMAZON,DRN,2037510963,6.422,OTHERS,OTHERS,OTHERS,92347442.3097416,22.06353432254253,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ARMT34,ARCELOR,DRN,17556196,0.098,OTHERS,OTHERS,OTHERS,92347442.3097416,0.1901102570996492,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ATTB34,ATT INC,DRN,71260000,0.203,OTHERS,OTHERS,OTHERS,92347442.3097416,0.7716510410866342,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
ATVI34,ACTIVISION,DRN,7823066,0.301,OTHERS,OTHERS,OTHERS,92347442.3097416,0.08471340195606863,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AVGO34,BROADCOM INC,DRN,141336195,1.002,OTHERS,OTHERS,OTHERS,92347442.3097416,1.5304830482033895,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
AXPB34,AMERICAN EXP,DRN,7530000,0.056,OTHERS,OTHERS,OTHERS,92347442.3097416,0.08153988688440017,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
B1IL34,BILIBILI INC,DRN,15344475,0.036,OTHERS,OTHERS,OTHERS,92347442.3097416,0.16616025973446297,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
B1NT34,BIONTECH SE,DRN,19414832,0.178,OTHERS,OTHERS,OTHERS,92347442.3097416,0.21023681343421416,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
B1PP34,BP PLC,DRN,125869360,0.487,OTHERS,OTHERS,OTHERS,92347442.3097416,1.3629977923787309,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
B1SA34,BANCO SANTAN,DRN,9422306,0.039,OTHERS,OTHERS,OTHERS,92347442.3097416,0.10203104454584395,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
B1TI34,BRITISH AMER,DRN,112545950,0.444,OTHERS,OTHERS,OTHERS,92347442.3097416,1.218722979056754,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
B2YN34,BEYOND MEAT,DRN,12733546,0.007,OTHERS,OTHERS,OTHERS,92347442.3097416,0.13788737058131556,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BABA34,ALIBABAGR,DRN,741310080,1.203,OTHERS,OTHERS,OTHERS,92347442.3097416,8.027402399663432,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BCSA34,SANTANDER,DRN,167944000,0.194,OTHERS,OTHERS,OTHERS,92347442.3097416,1.818610194278048,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BERK34,BERKSHIRE,DRN,14670000,0.101,OTHERS,OTHERS,OTHERS,92347442.3097416,0.1588565923763812,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BIDU34,BAIDU INC,DRN,2756380,0.192,OTHERS,OTHERS,OTHERS,92347442.3097416,0.029847930067785248,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BKNG34,BOOKING,DRN,69485937,0.361,OTHERS,OTHERS,OTHERS,92347442.3097416,0.7524402978800208,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BLAK34,BLACKROCK,DRN,9046122,0.489,OTHERS,OTHERS,OTHERS,92347442.3097416,0.09795747206141883,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BOAC34,BANK AMERICA,DRN ED,321409560,1.313,OTHERS,OTHERS,OTHERS,92347442.3097416,3.480438136250309,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BOEI34,BOEING,DRN,5960000,0.45,OTHERS,OTHERS,OTHERS,92347442.3097416,0.06453887461235391,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
BONY34,BNY MELLON,DRN,8081000,0.164,OTHERS,OTHERS,OTHERS,92347442.3097416,0.08750648418497181,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
C1CL34,CARNIVAL COR,DRN,10967560,0.051,OTHERS,OTHERS,OTHERS,92347442.3097416,0.11876409054420609,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
C1SU34,CREDIT SUISS,DRN,53014960,0.067,OTHERS,OTHERS,OTHERS,92347442.3097416,0.5740815194662682,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
C2OI34,COINBASEGLOB,DRN,44208425,0.057,OTHERS,OTHERS,OTHERS,92347442.3097416,0.4787184560209148,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
CATP34,CATERPILLAR,DRN,84465462,0.473,OTHERS,OTHERS,OTHERS,92347442.3097416,0.9146486344115007,SET/2022 ATE DEZ/2022,2022-10-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_BDRX
