ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON      NM,476976044,0.45,16273763.11400699,29.309511307158083,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ABEV3,AMBEV S/A,ON,4394835131,2.359,16273763.11400699,270.0564768094309,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ASAI3,ASSAI,ON      NM,1345832968,0.461,16273763.11400699,82.69955501820155,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
AURE3,AUREN,ON      NM,323738747,0.128,16273763.11400699,19.893293562897867,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
AMOB3,AUTOMOB,ON      NM,533959816,0.008,16273763.11400699,32.81108445903428,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
AZUL4,AZUL,PN  ES  N2,326872005,0.058,16273763.11400699,20.085827888121216,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
AZZA3,AZZAS 2154,ON      NM,136643320,0.223,16273763.11400699,8.396541048480037,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
B3SA3,B3,ON      NM,5392540963,2.929,16273763.11400699,331.36410584461476,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BBSE3,BBSEGURIDADE,ON      NM,637332335,1.237,16273763.11400699,39.16318128358657,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BBDC3,BRADESCO,ON  EJ  N1,1484426957,0.797,16273763.11400699,91.21596195057914,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BBDC4,BRADESCO,PN  EJ  N1,5129958973,3.012,16273763.11400699,315.2288095298986,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BRAP4,BRADESPAR,PN      N1,250969312,0.206,16273763.11400699,15.421713480884344,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BBAS3,BRASIL,ON      NM,2842613858,3.87,16273763.11400699,174.67464888642343,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BRKM5,BRASKEM,PNA     N1,265388400,0.174,16273763.11400699,16.307746287125045,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BRAV3,BRAVA,ON      NM,460791208,0.468,16273763.11400699,28.314975754033952,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BRFS3,BRF SA,ON      NM,814523002,0.851,16273763.11400699,50.05130013837623,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BPAC11,BTGP BANCO,UNT     N2,1287247964,1.987,16273763.11400699,79.09958839772301,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.368,16273763.11400699,31.799651769207735,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CRFB3,CARREFOUR BR,ON      NM,532664283,0.168,16273763.11400699,32.731475766753086,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CCRO3,CCR SA,ON      NM,991920937,0.54,16273763.11400699,60.952155322099024,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CMIG4,CEMIG,PN      N1,1858636840,1.003,16273763.11400699,114.21063628487087,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
COGN3,COGNA ON,ON      NM,1872454628,0.148,16273763.11400699,115.05972004645683,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CPLE6,COPEL,PNB     N2,1679233590,0.808,16273763.11400699,103.18655729692088,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CSAN3,COSAN,ON      NM,1150987430,0.419,16273763.11400699,70.72656901398139,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.311,16273763.11400699,11.535902094974993,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CMIN3,CSNMINERACAO,ON      N2,1646519336,0.435,16273763.11400699,101.17631210834232,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CVCB3,CVC BRASIL,ON      NM,525591097,0.048,16273763.11400699,32.296838372165965,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
CYRE3,CYRELA REALT,ON      NM,273755006,0.276,16273763.11400699,16.821862533096375,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ELET3,ELETROBRAS,ON      N1,1977170723,3.423,16273763.11400699,121.49437773849795,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ELET6,ELETROBRAS,PNB     N1,268875696,0.518,16273763.11400699,16.522035752663502,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
EMBR3,EMBRAER,ON      NM,734631801,2.192,16273763.11400699,45.14209748866843,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ENGI11,ENERGISA,UNT     N2,326175300,0.638,16273763.11400699,20.043016339549496,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ENEV3,ENEVA,ON      NM,1929556616,1.115,16273763.11400699,118.56855740632056,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
EGIE3,ENGIE BRASIL,ON      NM,255236938,0.446,16273763.11400699,15.683953134374619,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
EQTL3,EQUATORIAL,ON      NM,1253541010,1.845,16273763.11400699,77.02834318148976,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
FLRY3,FLEURY,ON      NM,455988366,0.266,16273763.11400699,28.01984782533342,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
GGBR4,GERDAU,PN      N1,1242683687,1.068,16273763.11400699,76.36117585676357,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
GOAU4,GERDAU MET,PN      N1,649238303,0.311,16273763.11400699,39.89478637803165,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
NTCO3,GRUPO NATURA,ON      NM,850935197,0.518,16273763.11400699,52.28877863335688,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
HAPV3,HAPVIDA,ON      NM,4779395040,0.548,16273763.11400699,293.6871457767704,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
HYPE3,HYPERA,ON      NM,370735677,0.34,16273763.11400699,22.781189230959377,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
IGTI11,IGUATEMI S.A,UNT     N1,211783588,0.193,16273763.11400699,13.013805504992005,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.209,16273763.11400699,5.028845659524256,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ISAE4,ISA ENERGIA,PN      N1,395801044,0.468,16273763.11400699,24.321421003070277,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ITSA4,ITAUSA,PN      N1,5778248950,2.706,16273763.11400699,355.0653226005609,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
ITUB4,ITAUUNIBANCO,PN  EJ  N1,4792902422,8.042,16273763.11400699,294.5171555234635,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
JBSS3,JBS,ON      NM,1145962972,1.968,16273763.11400699,70.41782309179972,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
KLBN11,KLABIN S/A,UNT     N2,765785673,0.801,16273763.11400699,47.056459384054854,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
RENT3,LOCALIZA,ON      NM,965986531,1.429,16273763.11400699,59.35852231796134,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
LREN3,LOJAS RENNER,ON      NM,1051120777,0.674,16273763.11400699,64.5899027555151,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
LWSA3,LWSA,ON      NM,389635155,0.06,16273763.11400699,23.94253574114257,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
MGLU3,MAGAZ LUIZA,ON      NM,353448195,0.126,16273763.11400699,21.718897622135326,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
POMO4,MARCOPOLO,PN      N2,666378439,0.263,16273763.11400699,40.948023781078724,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
MRFG3,MARFRIG,ON      NM,302019876,0.224,16273763.11400699,18.558699293100098,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
BEEF3,MINERVA,ON      NM,261359935,0.057,16273763.11400699,16.06020274284593,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
MRVE3,MRV,ON      NM,377241484,0.104,16273763.11400699,23.18096197893556,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
MULT3,MULTIPLAN,ON      N2,314150156,0.343,16273763.11400699,19.304088046458524,2025-02-11,2025-02-11,CARTEIRA_TEORICA_B3_IBOV
