ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,235665566,0.371,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,16843675.24830276,13.991338738482662,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
ALOS3,ALLOS,ON      NM,532616595,0.551,OTHERS,OTHERS,OTHERS,16843675.24830276,31.621162670757894,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
ALPA4,ALPARGATAS,PN      N1,176733968,0.072,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,16843675.24830276,10.492601252081753,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
ABEV3,AMBEV S/A,ON,4394245879,2.512,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,16843675.24830276,260.8840300125581,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
ARZZ3,AREZZO CO,ON      NM,62305891,0.151,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,16843675.24830276,3.6990674589429764,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
ASAI3,ASSAI,ON      NM,1349217892,0.85,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,16843675.24830276,80.10234536764492,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
AZUL4,AZUL,PN      N2,327593725,0.158,bens_industriais,transporte,transporte_aereo,16843675.24830276,19.449064421555487,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
B3SA3,B3,ON      NM,5602790110,2.984,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,16843675.24830276,332.63465528786895,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
BBSE3,BBSEGURIDADE,ON      NM,671750768,1.048,financeiro,previdencia_e_seguros,seguradoras,16843675.24830276,39.881484183072715,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
BBDC3,BRADESCO,ON      N1,1500728902,0.872,financeiro,intermediarios_financeiros,bancos,16843675.24830276,89.09747307976741,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
BBDC4,BRADESCO,PN      N1,5146576868,3.388,financeiro,intermediarios_financeiros,bancos,16843675.24830276,305.54951886279036,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
BRAP4,BRADESPAR,PN      N1,251003438,0.247,materiais_basicos,mineracao,minerais_metalicos,16843675.24830276,14.901940004174097,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
BBAS3,BRASIL,ON  EB  NM,2841898224,3.794,financeiro,intermediarios_financeiros,bancos,16843675.24830276,168.72197914682317,2024-04-19,2024-04-19,CARTEIRA_TEORICA_B3_IBOV
