ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,196144421,0.37,17904149.63478704,10.955249202056448,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ALPA4,ALPARGATAS,PN      N1,202765994,0.156,17904149.63478704,11.325083745168987,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ABEV3,AMBEV S/A,ON  EJ,4386652506,3.249,17904149.63478704,245.00758737387397,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
AMER3,AMERICANAS,ON      NM,611169249,0.302,17904149.63478704,34.135620035956514,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ARZZ3,AREZZO CO,ON      NM,60758326,0.243,17904149.63478704,3.3935331886385165,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ASAI3,ASSAI,ON  EJ  NM,935793199,0.924,17904149.63478704,52.266833001763544,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
AZUL4,AZUL,PN      N2,327646296,0.186,17904149.63478704,18.3000199776814,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
B3SA3,B3,ON  ED  NM,5901731302,4.025,17904149.63478704,329.6292436326143,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BPAN4,BANCO PAN,PN  EJ  N1,341549703,0.108,17904149.63478704,19.076566604223565,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBSE3,BBSEGURIDADE,ON      NM,671682536,1.15,17904149.63478704,37.515467067754386,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRML3,BR MALLS PAR,ON      NM,828273884,0.354,17904149.63478704,46.26155952085528,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBDC3,BRADESCO,ON      N1,1508883586,1.039,17904149.63478704,84.27563535708504,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBDC4,BRADESCO,PN      N1,5156077326,3.979,17904149.63478704,287.9822516665047,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRAP4,BRADESPAR,PN  EJ  N1,251016648,0.384,17904149.63478704,14.020026257615987,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBAS3,BRASIL,ON      NM,1420731069,2.507,17904149.63478704,79.3520551369598,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRKM5,BRASKEM,PNA     N1,265212486,0.324,17904149.63478704,14.812906025131896,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRFS3,BRF SA,ON  ATZ NM,1076512610,0.425,17904149.63478704,60.12643057385866,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BPAC11,BTGP BANCO,UNT     N2,1225470424,1.529,17904149.63478704,68.44616745265357,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CRFB3,CARREFOUR BR,ON      NM,528743156,0.406,17904149.63478704,29.531877625322867,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CCRO3,CCR SA,ON      NM,998462635,0.55,17904149.63478704,55.76710736711155,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CMIG4,CEMIG,PN  EJ  N1,1442098974,0.82,17904149.63478704,80.54551617453306,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CIEL3,CIELO,ON  EJ  NM,1095401258,0.29,17904149.63478704,61.181417735231584,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
COGN3,COGNA ON,ON      NM,1820405422,0.2,17904149.63478704,101.6750562932643,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CPLE6,COPEL,PNB     N2,1563365506,0.627,17904149.63478704,87.31861260600971,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CSAN3,COSAN,ON      NM,1171063698,1.031,17904149.63478704,65.40739001223886,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.311,17904149.63478704,10.485420521466333,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CMIN3,CSNMINERACAO,ON  EJ  N2,1110550596,0.232,17904149.63478704,62.027553313241135,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CVCB3,CVC BRASIL,ON      NM,275967676,0.064,17904149.63478704,15.413615370137766,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
CYRE3,CYRELA REALT,ON      NM,274142301,0.186,17904149.63478704,15.311662748134799,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
DXCO3,DEXCO,ON  EB  NM,274863424,0.095,17904149.63478704,15.351939612141726,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ECOR3,ECORODOVIAS,ON      NM,310103685,0.072,17904149.63478704,17.3202129855685,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ELET3,ELETROBRAS,ON      N1,1877099548,4.061,17904149.63478704,104.84159182588996,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ELET6,ELETROBRAS,PNB     N1,275526814,0.615,17904149.63478704,15.388991916413751,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
EMBR3,EMBRAER,ON      NM,734632205,0.531,17904149.63478704,41.03139327950204,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ENBR3,ENERGIAS BR,ON      NM,246028184,0.258,17904149.63478704,13.741405708650756,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ENGI11,ENERGISA,UNT     N2,248477689,0.562,17904149.63478704,13.878217847175375,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ENEV3,ENEVA,ON      NM,1576898490,0.961,17904149.63478704,88.07447000644754,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
EGIE3,ENGIE BRASIL,ON  EJ  NM,255208461,0.491,17904149.63478704,14.254151479171076,PRÉ/IA - ATE PRÉ/IA - - 20221229,2023-03-19,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
