ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,235665566,0.272,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,17041723.69311382,13.828739993902566,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ALOS3,ALLOS,ON      NM,532616595,0.621,OTHERS,OTHERS,OTHERS,17041723.69311382,31.253680941630247,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ALPA4,ALPARGATAS,PN      N1,176733968,0.078,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,17041723.69311382,10.370662685454421,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ABEV3,AMBEV S/A,ON  EJ,4394245879,2.66,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,17041723.69311382,257.85219606486265,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ARZZ3,AREZZO CO,ON      NM,62305891,0.182,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,17041723.69311382,3.6560791691028545,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
ASAI3,ASSAI,ON      NM,1349217892,0.795,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,17041723.69311382,79.17144511298402,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
AZUL4,AZUL,PN      N2,327593725,0.237,bens_industriais,transporte,transporte_aereo,17041723.69311382,19.223039341517627,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
B3SA3,B3,ON      NM,5602790110,3.572,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,17041723.69311382,328.7689796463466,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBSE3,BBSEGURIDADE,ON      NM,671750768,0.981,financeiro,previdencia_e_seguros,seguradoras,17041723.69311382,39.418006071266106,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBDC3,BRADESCO,ON  EJ  N1,1500728902,0.999,financeiro,intermediarios_financeiros,bancos,17041723.69311382,88.06203697613118,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBDC4,BRADESCO,PN  EJ  N1,5146576868,3.822,financeiro,intermediarios_financeiros,bancos,17041723.69311382,301.99861003964156,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRAP4,BRADESPAR,PN      N1,251003438,0.281,materiais_basicos,mineracao,minerais_metalicos,17041723.69311382,14.728758811024786,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BBAS3,BRASIL,ON      NM,1420949112,3.409,financeiro,intermediarios_financeiros,bancos,17041723.69311382,83.38059797168134,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRKM5,BRASKEM,PNA     N1,265877867,0.252,materiais_basicos,quimicos,petroquimicos,17041723.69311382,15.601583019881687,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BRFS3,BRF SA,ON      NM,1677525446,1.013,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,17041723.69311382,98.43637159061853,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
BPAC11,BTGP BANCO,UNT     N2,1150645866,1.89,OTHERS,OTHERS,OTHERS,17041723.69311382,67.5193358794422,PRÉ/IA - ATE PRÉ/IA - - 20231228,2024-03-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBOV
