ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4386652506,3.251,18842281.23696071,232.80899222516723,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
ALPA4,ALPARGATAS,PN      N1,202765994,0.202,18842281.23696071,10.761223200631225,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
AMER3,AMERICANAS,ON      NM,596086291,0.443,18842281.23696071,31.63556914917112,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
ARZZ3,AREZZO CO,ON      NM,60358029,0.268,18842281.23696071,3.203329163859559,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
ASAI3,ASSAI,ON      NM,795949801,0.72,18842281.23696071,42.24275134152429,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
AZUL4,AZUL,PN      N2,327646296,0.253,18842281.23696071,17.388886827423764,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
B3SA3,B3,ON      NM,5901731302,3.571,18842281.23696071,313.2174511026436,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBAS3,BRASIL,ON      NM,1420731069,2.893,18842281.23696071,75.40122404144554,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBDC3,BRADESCO,ON  EJ  N1,1508883586,1.151,18842281.23696071,80.07966588675042,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBDC4,BRADESCO,PN  EJ  N1,5156077326,4.766,18842281.23696071,273.64400632583295,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBSE3,BBSEGURIDADE,ON      NM,671682536,0.915,18842281.23696071,35.64762289411319,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BEEF3,MINERVA,ON      NM,260409710,0.187,18842281.23696071,13.820497991993909,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BPAC11,BTGP BANCO,UNT     N2,1225470424,1.525,18842281.23696071,65.0383256989147,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BPAN4,BANCO PAN,PN      N1,341549703,0.13,18842281.23696071,18.12677025168384,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BRAP4,BRADESPAR,PN      N1,251025058,0.26,18842281.23696071,13.322434520698765,SET/2022 ATE DEZ/2022,2022-09-18,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
