ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,234689601,0.342,43835572.54098377,5.353861884216947,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
ALSO3,ALIANSCSONAE,ON      NM,532365440,0.619,43835572.54098377,12.144598761708167,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
ALPA4,ALPARGATAS,PN      N1,201952502,0.083,43835572.54098377,4.607046065411508,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
ABEV3,AMBEV S/A,ON,4386652506,3.03,43835572.54098377,100.07061050471576,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
ARZZ3,AREZZO CO,ON  EJ  NM,60758326,0.229,43835572.54098377,1.386050699878379,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
ASAI3,ASSAI,ON      NM,1190824431,0.751,43835572.54098377,27.1657095361683,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
AURE3,AUREN,ON      NM,301966318,0.199,43835572.54098377,6.88861352769326,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
AZUL4,AZUL,PN      N2,327646296,0.3,43835572.54098377,7.47443861246866,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
B3SA3,B3,ON      NM,5733398051,3.715,43835572.54098377,130.7932740159741,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
BBSE3,BBSEGURIDADE,ON      NM,671682536,0.964,43835572.54098377,15.32277319686004,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
BBDC3,BRADESCO,ON  EJ  N1,1500631902,1.002,43835572.54098377,34.23319954580255,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
BBDC4,BRADESCO,PN  EJ  N1,5146612491,3.858,43835572.54098377,117.40721502355673,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
BRAP4,BRADESPAR,PN      N1,251008334,0.252,43835572.54098377,5.726133353575375,2023-07-11,2023-07-11,CARTEIRA_TEORICA_B3_IBXX
