ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,450375227,0.56,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,41459734.42556262,10.862954942671182,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
ALOS3,ALLOS,ON      NM,532616595,0.528,OTHERS,OTHERS,OTHERS,41459734.42556262,12.846599293979251,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
ALPA4,ALPARGATAS,PN      N1,166362038,0.058,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,41459734.42556262,4.012617068222873,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
ABEV3,AMBEV S/A,ON,4394245879,2.438,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,41459734.42556262,105.98827850403842,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
ASAI3,ASSAI,ON      NM,1349217892,0.597,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,41459734.42556262,32.542849362009406,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
AURE3,AUREN,ON      NM,301966319,0.149,utilidade_publica,energia_eletrica,energia_eletrica,41459734.42556262,7.283363561871205,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
AZUL4,AZUL,PN      N2,332825777,0.11,bens_industriais,transporte,transporte_aereo,41459734.42556262,8.02768714299316,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
AZZA3,AZZAS 2154,ON      NM,122670748,0.282,OTHERS,OTHERS,OTHERS,41459734.42556262,2.9587924211199366,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
B3SA3,B3,ON      NM,5602790110,3.032,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,41459734.42556262,135.13810900210484,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BBSE3,BBSEGURIDADE,ON      NM,671750768,1.067,financeiro,previdencia_e_seguros,seguradoras,41459734.42556262,16.20248603391492,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BBDC3,BRADESCO,ON      N1,1489259656,0.86,financeiro,intermediarios_financeiros,bancos,41459734.42556262,35.92062700434894,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BBDC4,BRADESCO,PN      N1,5135772281,3.315,financeiro,intermediarios_financeiros,bancos,41459734.42556262,123.87373802938454,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BRAP4,BRADESPAR,PN      N1,250992819,0.196,materiais_basicos,mineracao,minerais_metalicos,41459734.42556262,6.053893554254091,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BBAS3,BRASIL,ON      NM,2842247534,3.407,financeiro,intermediarios_financeiros,bancos,41459734.42556262,68.5544076289975,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BRKM5,BRASKEM,PNA     N1,265877867,0.192,materiais_basicos,quimicos,petroquimicos,41459734.42556262,6.4129177546315645,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BRFS3,BRF SA,ON      NM,835221269,0.85,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,41459734.42556262,20.145359843044044,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
BPAC11,BTGP BANCO,UNT     N2,1150645866,1.773,OTHERS,OTHERS,OTHERS,41459734.42556262,27.753334215535933,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.312,financeiro,previdencia_e_seguros,seguradoras,41459734.42556262,12.481990229077,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CRFB3,CARREFOUR BR,ON      NM,533990587,0.217,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,41459734.42556262,12.879739689571194,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CCRO3,CCR SA,ON      NM,995335937,0.57,bens_industriais,transporte,exploracao_de_rodovias,41459734.42556262,24.007291672044833,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CMIG4,CEMIG,PN      N1,1868640510,0.916,utilidade_publica,energia_eletrica,energia_eletrica,41459734.42556262,45.07121272942505,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
COGN3,COGNA ON,ON      NM,1814903540,0.107,consumo_ciclico,diversos,servicos_educacionais,41459734.42556262,43.77508841158891,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CSMG3,COPASA,ON      NM,188462398,0.178,utilidade_publica,agua_e_saneamento,agua_e_saneamento,41459734.42556262,4.545673063544775,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CPLE3,COPEL,ON      N2,1300330190,0.523,utilidade_publica,energia_eletrica,energia_eletrica,41459734.42556262,31.363688359717568,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CPLE6,COPEL,PNB     N2,1679233590,0.745,utilidade_publica,energia_eletrica,energia_eletrica,41459734.42556262,40.50275799559014,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CSAN3,COSAN,ON      NM,1168966848,0.681,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,41459734.42556262,28.1952324151709,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.266,utilidade_publica,energia_eletrica,energia_eletrica,41459734.42556262,4.528068995161018,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CMIN3,CSNMINERACAO,ON      N2,1110559345,0.242,OTHERS,OTHERS,OTHERS,41459734.42556262,26.786455832077593,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CVCB3,CVC BRASIL,ON      NM,525582771,0.044,consumo_ciclico,viagens_e_lazer,viagens_e_turismo,41459734.42556262,12.676944951098,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
CYRE3,CYRELA REALT,ON      NM,265784616,0.251,consumo_ciclico,construcao_civil,incorporacoes,41459734.42556262,6.410668560291755,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
DXCO3,DEXCO,ON      NM,302768240,0.099,materiais_basicos,madeira_e_papel,madeira,41459734.42556262,7.302705726289547,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
DIRR3,DIRECIONAL,ON      NM,108668381,0.134,consumo_ciclico,construcao_civil,incorporacoes,41459734.42556262,2.6210582992301776,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
ECOR3,ECORODOVIAS,ON      NM,334032615,0.114,bens_industriais,transporte,exploracao_de_rodovias,41459734.42556262,8.05679581956143,2024-08-16,2024-08-16,CARTEIRA_TEORICA_B3_IBXX
