ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON  ED  NM,238441689,0.349,41810350.26282211,5.702934500695228,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ALOS3,ALLOS,ON  ED  NM,532616595,0.48,41810350.26282211,12.738869482124485,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ALPA4,ALPARGATAS,PN      N1,166362038,0.072,41810350.26282211,3.978967814290942,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ABEV3,AMBEV S/A,ON,4394245879,2.408,41810350.26282211,105.09947540208428,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ARZZ3,AREZZO CO,ON      NM,62305891,0.146,41810350.26282211,1.4902025600919826,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ASAI3,ASSAI,ON      NM,1349217892,0.787,41810350.26282211,32.269949510557645,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
AURE3,AUREN,ON      NM,301966319,0.154,41810350.26282211,7.222286278441188,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
AZUL4,AZUL,PN      N2,332825777,0.15,41810350.26282211,7.960368064554334,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
B3SA3,B3,ON      NM,5602790110,2.755,41810350.26282211,134.00485943744934,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
BBSE3,BBSEGURIDADE,ON      NM,671750768,0.968,41810350.26282211,16.066614218186132,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
BBDC3,BRADESCO,ON  EJ  N1,1489259656,0.819,41810350.26282211,35.619401574931416,PRÉ/IA - ATE PRÉ/IA - - 20240503,2024-06-22,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
