ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,463981130,0.529,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,41525565.04127555,11.173385107193901,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ALOS3,ALLOS,ON      NM,502481592,0.494,OTHERS,OTHERS,OTHERS,41525565.04127555,12.100535934924514,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ALPA4,ALPARGATAS,PN      N1,166460180,0.057,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,41525565.04127555,4.008619264651595,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ABEV3,AMBEV S/A,ON,4394835131,2.363,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,41525565.04127555,105.8344450372108,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
AMBP3,AMBIPAR,ON      NM,41041780,0.116,utilidade_publica,agua_e_saneamento,agua_e_saneamento,41525565.04127555,0.9883497059993119,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
ASAI3,ASSAI,ON      NM,1349687675,0.539,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,41525565.04127555,32.502572178330105,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
AURE3,AUREN,ON      NM,291727616,0.139,utilidade_publica,energia_eletrica,energia_eletrica,41525565.04127555,7.025253376083596,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
AZUL4,AZUL,PN      N2,328421113,0.099,bens_industriais,transporte,transporte_aereo,41525565.04127555,7.908889684548692,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
AZZA3,AZZAS 2154,ON      NM,127330493,0.28,OTHERS,OTHERS,OTHERS,41525565.04127555,3.066315723180073,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
B3SA3,B3,ON      NM,5511401013,2.906,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,41525565.04127555,132.72308293750564,SET/2024 ATE DEZ/2024 - 20240829,2024-09-01,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IBXX
