ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4380195841,2.93,46972619.40592786,93.24998044386741,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
ALPA4,ALPARGATAS,PN      N1,201257220,0.182,46972619.40592786,4.284564551548124,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AMAR3,LOJAS MARISA,ON      NM,155296395,0.017,46972619.40592786,3.3061046406196772,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AMER3,AMERICANAS,ON      NM,596875824,0.66,46972619.40592786,12.706888215918301,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
ARZZ3,AREZZO CO,ON      NM,60235329,0.247,46972619.40592786,1.2823497978568854,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
ASAI3,ASSAI,ON  ED  NM,794531367,0.559,46972619.40592786,16.91477667306183,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AURE3,AUREN,ON      NM,301966318,0.204,46972619.40592786,6.428560336192203,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AZUL4,AZUL,PN      N2,327741172,0.332,46972619.40592786,6.977281151126089,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
B3SA3,B3,ON      NM,5987625321,3.669,46972619.40592786,127.47054340862185,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
BBAS3,BRASIL,ON      NM,1420530937,2.174,46972619.40592786,30.241680258962344,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
BBDC3,BRADESCO,ON  EB  N1,1516726535,1.042,46972619.40592786,32.28958815118988,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
BBDC4,BRADESCO,PN  EB  N1,5160570290,4.275,46972619.40592786,109.86337051811816,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
