ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4386652506,3.112,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,46191107.74737431,94.96746711490925,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
ALPA4,ALPARGATAS,PN      N1,202765994,0.193,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,46191107.74737431,4.389719231436402,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AMBP3,AMBIPAR,ON      NM,43853759,0.057,utilidade_publica,agua_e_saneamento,agua_e_saneamento,46191107.74737431,0.9493982963093762,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AMER3,AMERICANAS,ON      NM,596086291,0.424,OTHERS,OTHERS,OTHERS,46191107.74737431,12.90478449358868,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
ARZZ3,AREZZO CO,ON      NM,60358029,0.257,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,46191107.74737431,1.3067023490778047,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
ASAI3,ASSAI,ON      NM,795949801,0.689,OTHERS,OTHERS,OTHERS,46191107.74737431,17.231667301705812,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AURE3,AUREN,ON      NM,301966318,0.207,OTHERS,OTHERS,OTHERS,46191107.74737431,6.5373257478797955,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
AZUL4,AZUL,PN      N2,327646296,0.242,bens_industriais,transporte,transporte_aereo,46191107.74737431,7.093276433030008,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
B3SA3,B3,ON      NM,5901731302,3.418,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,46191107.74737431,127.7676936062543,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
BBAS3,BRASIL,ON      NM,1420731069,2.769,financeiro,intermediarios_financeiros,bancos,46191107.74737431,30.757674762211348,SET/2022 ATE DEZ/2022,2022-10-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBXX
