ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
TTEN3,3TENTOS,ON      NM,258011141,0.327,412736707.1689442,0.6251228362259263,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ABCB4,ABC BRASIL,PN      N2,221594454,0.419,412736707.1689442,0.5368905894510019,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ALOS3,ALLOS,ON      NM,744896134,1.452,412736707.1689442,1.8047731666742548,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ABEV3,AMBEV S/A,ON,943586303,1.131,412736707.1689442,2.2861700609870033,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ASAI3,ASSAI,ON      NM,1247812112,1.122,412736707.1689442,3.0232642028837944,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
AURE3,AUREN,ON      NM,981284538,0.805,412736707.1689442,2.377507309032085,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
AZZA3,AZZAS 2154,ON      NM,365398911,1.175,412736707.1689442,0.885307520880212,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
B3SA3,B3,ON      NM,10684807371,13.218,412736707.1689442,25.887708036170434,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BRSR6,BANRISUL,PNB     N1,613908217,0.618,412736707.1689442,1.4874088161698469,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BBDC3,BRADESCO,ON      N1,1043487029,1.3,412736707.1689442,2.5282147453215806,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BBDC4,BRADESCO,PN      N1,3630863136,5.251,412736707.1689442,8.797044394003441,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BBAS3,BRASIL,ON      NM,2420143085,4.61,412736707.1689442,5.863648769212501,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BRFS3,BRF SA,ON      NM,709304533,1.406,412736707.1689442,1.7185399812516862,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CXSE3,CAIXA SEGURI,ON      NM,818107838,1.061,412736707.1689442,1.9821542978611946,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BHIA3,CASAS BAHIA,ON      NM,287850509,0.078,412736707.1689442,0.6974192118128594,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CEAB3,CEA MODAS,ON      NM,256097725,0.407,412736707.1689442,0.6204869122415427,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CMIG4,CEMIG,PN      N1,2159829829,2.102,412736707.1689442,5.232948248811618,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CPLE3,COPEL,ON      N2,832382946,0.833,412736707.1689442,2.016740773335877,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CPLE6,COPEL,PNB     N2,1075878500,1.151,412736707.1689442,2.6066944890356316,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CSAN3,COSAN,ON      NM,980215425,0.563,412736707.1689442,2.3749170063489693,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CPFE3,CPFL ENERGIA,ON      NM,414756156,1.422,412736707.1689442,1.004892825852364,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
CYRE3,CYRELA REALT,ON      NM,779523012,1.798,412736707.1689442,1.8886689709450057,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ECOR3,ECORODOVIAS,ON      NM,998149179,0.621,412736707.1689442,2.418367839988196,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
EMBR3,EMBRAER,ON      NM,356718010,2.388,412736707.1689442,0.864274981614334,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ENGI11,ENERGISA,UNT     N2,186151840,0.768,412736707.1689442,0.45101837749508206,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
EGIE3,ENGIE BRASIL,ON      NM,196150961,0.735,412736707.1689442,0.4752447688635316,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
FLRY3,FLEURY,ON      NM,1241047958,1.411,412736707.1689442,3.0068756581226634,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
HYPE3,HYPERA,ON      NM,471439720,1.147,412736707.1689442,1.1422287182395607,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
IGTI11,IGUATEMI S.A,UNT     N1,434174236,0.862,412736707.1689442,1.051939961866006,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MYPK3,IOCHP-MAXION,ON      NM,311253933,0.379,412736707.1689442,0.7541222469282225,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
RANI3,IRANI,ON      NM,269353730,0.177,412736707.1689442,0.6526042518669083,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ISAE4,ISA ENERGIA,PN      N1,267025474,0.549,412736707.1689442,0.6469632319150603,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ITUB3,ITAUUNIBANCO,ON      N1,186351520,0.53,412736707.1689442,0.45150217260351727,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
ITUB4,ITAUUNIBANCO,PN      N1,2221546026,6.998,412736707.1689442,5.3824774666593,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
JHSF3,JHSF PART,ON      NM,835723573,0.393,412736707.1689442,2.024834618496668,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
RENT3,LOCALIZA,ON      NM,508169036,1.679,412736707.1689442,1.2312184188453896,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
LREN3,LOJAS RENNER,ON  EJ  NM,2409557782,4.059,412736707.1689442,5.838002145551119,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
LWSA3,LWSA,ON      NM,1178471274,0.398,412736707.1689442,2.8552616075352373,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MDIA3,M.DIASBRANCO,ON      NM,147592799,0.356,412736707.1689442,0.3575955238204348,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MGLU3,MAGAZ LUIZA,ON      NM,974982759,0.706,412736707.1689442,2.3622390305132552,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MRFG3,MARFRIG,ON      NM,514058966,1.065,412736707.1689442,1.2454888481474025,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MILS3,MILLS,ON      NM,427417982,0.433,412736707.1689442,1.0355705576365088,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
BEEF3,MINERVA,ON      NM,925737429,0.449,412736707.1689442,2.2429248790344953,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MOTV3,MOTIVA SA,ON      NM,1445045523,1.685,412736707.1689442,3.501131588008973,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
MOVI3,MOVIDA,ON      NM,369292977,0.209,412736707.1689442,0.8947422668874433,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
NATU3,NATURA,ON      NM,1854481992,1.636,412736707.1689442,4.493135599012547,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
NEOE3,NEOENERGIA,ON      NM,481352708,1.051,412736707.1689442,1.1662464220876032,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
PCAR3,P.ACUCAR-CBD,ON      NM,1279977239,0.37,412736707.1689442,3.1011955485608675,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
PSSA3,PORTO SEGURO,ON      NM,476727916,2.249,412736707.1689442,1.1550412350526955,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
RADL3,RAIADROGASIL,ON  EJ  NM,2646383604,3.283,412736707.1689442,6.411796087031252,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
RAIZ4,RAIZEN,PN      N2,2835056295,0.393,412736707.1689442,6.868922113679449,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
RDOR3,REDE D OR,ON      NM,611891776,1.836,412736707.1689442,1.4825232778472894,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
SANB11,SANTANDER BR,UNT,1080850062,2.702,412736707.1689442,2.618739848495179,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
STBP3,SANTOS BRP,ON      NM,540866297,0.673,412736707.1689442,1.310439046504795,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
SIMH3,SIMPAR,ON      NM,521238210,0.209,412736707.1689442,1.262883094589024,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
VIVT3,TELEF BRASIL,ON,751478957,2.173,412736707.1689442,1.8207223732402351,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
TIMS3,TIM,ON  EBG NM,1857641422,3.542,412736707.1689442,4.500790430640369,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
TOTS3,TOTVS,ON      NM,565423505,2.093,412736707.1689442,1.3699375296139022,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
VAMO3,VAMOS,ON      NM,1470589199,0.518,412736707.1689442,3.563020137188933,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
VBBR3,VIBRA,ON      NM,2467305321,4.833,412736707.1689442,5.977915892007313,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
WEGE3,WEG,ON      NM,336755032,1.206,412736707.1689442,0.8159076383340849,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
YDUQ3,YDUQS PART,ON      NM,788840934,0.987,412736707.1689442,1.9112449178820101,2025-07-14,2025-07-14,CARTEIRA_TEORICA_B3_ICO2
