ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON      NM,231676247,0.321,OTHERS,OTHERS,OTHERS,763783510.1276491,0.3033271128899871,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
ABEV3,AMBEV S/A,ON,5118742872,3.792,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,763783510.1276491,6.701824278904003,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
ARZZ3,AREZZO CO,ON      NM,51156053,0.182,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,763783510.1276491,0.0669771634523118,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
ASAI3,ASSAI,ON      NM,1156667128,0.886,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,763783510.1276491,1.514391332966444,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
AURE3,AUREN,ON      NM,1165935582,0.85,utilidade_publica,energia_eletrica,energia_eletrica,763783510.1276491,1.5265262558563752,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
AZUL4,AZUL,PN      N2,154202900,0.12,bens_industriais,transporte,transporte_aereo,763783510.1276491,0.20189346582545162,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
B3SA3,B3,ON      NM,6409991898,4.785,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,763783510.1276491,8.392419858512937,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
BBDC3,BRADESCO,ON  EJ  N1,720902658,0.557,financeiro,intermediarios_financeiros,bancos,763783510.1276491,0.9438573214018688,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
BBDC4,BRADESCO,PN  EJ  N1,2472252609,2.147,financeiro,intermediarios_financeiros,bancos,763783510.1276491,3.2368499400920805,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
BBAS3,BRASIL,ON      NM,1636277364,5.353,financeiro,intermediarios_financeiros,bancos,763783510.1276491,2.1423313573849394,2024-02-05,2024-02-05,CARTEIRA_TEORICA_B3_ICO2
