ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON      NM,218568198,0.272,744918158.064432,0.2934123643433791,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ABEV3,AMBEV S/A,ON,5174903761,3.59,744918158.064432,6.946942700989166,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
AMBP3,AMBIPAR,ON      NM,28341652,0.107,744918158.064432,0.03804666552046725,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ASAI3,ASSAI,ON      NM,1157069867,0.584,744918158.064432,1.5532845514284253,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
AURE3,AUREN,ON      NM,1315772061,0.806,744918158.064432,1.7663310348332142,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
AZUL4,AZUL,PN      N2,123113843,0.037,744918158.064432,0.16527163644378665,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
AZZA3,AZZAS 2154,ON      NM,82798654,0.227,744918158.064432,0.11115134341085332,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
B3SA3,B3,ON      NM,6460563260,4.371,744918158.064432,8.672849748738694,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BBDC3,BRADESCO,ON      N1,713071719,0.542,744918158.064432,0.9572484054527807,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BBDC4,BRADESCO,PN      N1,2464269899,2.078,744918158.064432,3.3081082429284154,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BBAS3,BRASIL,ON  EX  NM,3262056861,4.98,744918158.064432,4.379080877120795,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-10-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
