ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
TTEN3,3TENTOS,ON      NM,263058973,0.343,consumo_nao_ciclico,agropecuaria,agricultura,405631154.797735,0.6485176739719918,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ABCB4,ABC BRASIL,PN      N2,222630277,0.447,financeiro,intermediarios_financeiros,bancos,405631154.797735,0.5488490574916834,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ALOS3,ALLOS,ON      NM,662922384,1.387,OTHERS,OTHERS,OTHERS,405631154.797735,1.6342984905352287,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ABEV3,AMBEV S/A,ON  ED,1098720905,1.211,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,405631154.797735,2.7086699135520527,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ASAI3,ASSAI,ON      NM,1243493522,1.143,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,405631154.797735,3.0655769589987707,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
AURE3,AUREN,ON      NM,963484366,0.878,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,2.3752721027565906,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
AZZA3,AZZAS 2154,ON      NM,360392616,1.085,OTHERS,OTHERS,OTHERS,405631154.797735,0.8884737075477034,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
B3SA3,B3,ON      NM,10511905486,12.654,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,405631154.797735,25.91493617210366,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BRSR6,BANRISUL,PNB     N1,612997725,0.663,financeiro,intermediarios_financeiros,bancos,405631154.797735,1.5112195346673183,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BBDC3,BRADESCO,ON      N1,910391073,1.149,financeiro,intermediarios_financeiros,bancos,405631154.797735,2.24438153290755,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BBDC4,BRADESCO,PN      N1,3167752856,4.648,financeiro,intermediarios_financeiros,bancos,405631154.797735,7.809441702227179,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BBAS3,BRASIL,ON  ATZ NM,3248838483,6.141,financeiro,intermediarios_financeiros,bancos,405631154.797735,8.009341601534551,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BRFS3,BRF SA,ON      NM,777225977,1.418,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,405631154.797735,1.9160904378450863,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CXSE3,CAIXA SEGURI,ON      NM,930179068,1.16,financeiro,previdencia_e_seguros,seguradoras,405631154.797735,2.293164755709721,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BHIA3,CASAS BAHIA,ON      NM,287744919,0.075,OTHERS,OTHERS,OTHERS,405631154.797735,0.7093757853572217,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CEAB3,CEA MODAS,ON      NM,323409105,0.443,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,405631154.797735,0.7972984845339742,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CMIG4,CEMIG,PN      N1,2102110491,2.063,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,5.18232011061429,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CPLE3,COPEL,ON      N2,728824988,0.753,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,1.796767776290318,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CPLE6,COPEL,PNB     N2,942027464,1.04,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,2.322374533755266,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CSAN3,COSAN,ON      NM,1328652998,0.667,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,405631154.797735,3.275520093279135,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CPFE3,CPFL ENERGIA,ON      NM,411653348,1.488,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,1.0148464759943499,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
CYRE3,CYRELA REALT,ON      NM,774980258,1.83,consumo_ciclico,construcao_civil,incorporacoes,405631154.797735,1.9105540805573435,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ECOR3,ECORODOVIAS,ON      NM,995615558,0.644,bens_industriais,transporte,exploracao_de_rodovias,405631154.797735,2.454484933477204,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
EMBR3,EMBRAER,ON      NM,286412472,2.026,bens_industriais,material_de_transporte,material_aeronautico_e_de_defesa,405631154.797735,0.7060909119340636,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ENGI11,ENERGISA,UNT ED  N2,174640321,0.747,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,0.4305397130727868,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
EGIE3,ENGIE BRASIL,ON      NM,195332437,0.704,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,0.4815518598353253,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
FLRY3,FLEURY,ON  EJ  NM,1196856110,1.543,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,405631154.797735,2.950602033013967,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
HYPE3,HYPERA,ON      NM,529694822,1.106,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,405631154.797735,1.3058533984257903,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
IGTI11,IGUATEMI S.A,UNT     N1,457232808,0.921,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,405631154.797735,1.1272132393972445,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MYPK3,IOCHP-MAXION,ON      NM,304634191,0.395,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,405631154.797735,0.7510128041124051,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
RANI3,IRANI,ON  ED  NM,258801392,0.176,materiais_basicos,embalagens,embalagens,405631154.797735,0.6380214856254063,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ISAE4,ISA ENERGIA,PN      N1,271743537,0.55,OTHERS,OTHERS,OTHERS,405631154.797735,0.6699276763775774,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ITUB3,ITAUUNIBANCO,ON      N1,170356635,0.522,financeiro,intermediarios_financeiros,bancos,405631154.797735,0.4199791682296866,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
ITUB4,ITAUUNIBANCO,PN      N1,2030866738,6.97,financeiro,intermediarios_financeiros,bancos,405631154.797735,5.006683322962894,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
JHSF3,JHSF PART,ON      NM,796228698,0.397,consumo_ciclico,construcao_civil,incorporacoes,405631154.797735,1.9629377294676333,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
RENT3,LOCALIZA,ON      NM,624052237,1.955,consumo_ciclico,diversos,aluguel_de_carros,405631154.797735,1.5384721553530056,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
LREN3,LOJAS RENNER,ON      NM,2315090352,3.418,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,405631154.797735,5.707378056684041,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
LWSA3,LWSA,ON      NM,1143892683,0.431,tecnologia_da_informacao,programas_e_servicos,programas_e_servicos,405631154.797735,2.8200316210188388,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MDIA3,M.DIASBRANCO,ON      NM,142661621,0.378,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,405631154.797735,0.35170281994522135,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MGLU3,MAGAZ LUIZA,ON  ATZ NM,1075699695,0.652,consumo_ciclico,comercio,eletrodomesticos,405631154.797735,2.6519158656252375,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MRFG3,MARFRIG,ON      NM,413315376,0.884,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,405631154.797735,1.018943863436961,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MILS3,MILLS,ON      NM,411265403,0.459,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,405631154.797735,1.0138900775633828,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
BEEF3,MINERVA,ON      NM,938783896,0.422,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,405631154.797735,2.314378185443171,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MOTV3,MOTIVA SA,ON      NM,1390175979,1.693,OTHERS,OTHERS,OTHERS,405631154.797735,3.4271923212929765,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
MOVI3,MOVIDA,ON      NM,368745275,0.244,consumo_ciclico,diversos,aluguel_de_carros,405631154.797735,0.909065466590879,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
NATU3,NATURA,ON      NM,1849690860,1.548,OTHERS,OTHERS,OTHERS,405631154.797735,4.560031541271368,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
NEOE3,NEOENERGIA,ON      NM,466157015,1.139,utilidade_publica,energia_eletrica,energia_eletrica,405631154.797735,1.1492140322220707,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
PCAR3,P.ACUCAR-CBD,ON      NM,1311768587,0.342,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,405631154.797735,3.2338950583174606,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
PSSA3,PORTO SEGURO,ON      NM,454261909,2.177,financeiro,previdencia_e_seguros,seguradoras,405631154.797735,1.1198891002997893,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
RADL3,RAIADROGASIL,ON      NM,2999701648,4.797,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,405631154.797735,7.395146089051713,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
RAIZ4,RAIZEN,PN      N2,3182876288,0.303,consumo_nao_ciclico,agropecuaria,agricultura,405631154.797735,7.846725406452367,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
RDOR3,REDE D OR,ON      NM,496911170,1.707,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,405631154.797735,1.2250320620657975,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
SANB11,SANTANDER BR,UNT,1090628497,2.689,financeiro,intermediarios_financeiros,bancos,405631154.797735,2.688719749704221,SET/2025 ATE DEZ/2025 - 20250818,2025-08-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICO2
