ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,221594454,0.428,420856385.1349904,0.5265322371880451,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
ABEV3,AMBEV S/A,ON,943586303,1.189,420856385.1349904,2.2420624619900758,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
ALOS3,ALLOS,ON  ED  NM,744896134,1.433,420856385.1349904,1.7699532674574328,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
ASAI3,ASSAI,ON  ED  NM,1247812112,1.021,420856385.1349904,2.9649356789484425,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
AURE3,AUREN,ON  ED  NM,981284538,0.787,420856385.1349904,2.33163751973313,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
AZZA3,AZZAS 2154,ON      NM,365398911,1.036,420856385.1349904,0.8682270815085713,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
B3SA3,B3,ON      NM,10684807371,12.692,420856385.1349904,25.38825059663246,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BBAS3,BRASIL,ON      NM,2420143085,6.242,420856385.1349904,5.750520059767503,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BBDC3,BRADESCO,ON  EJ  N1,1043487029,1.12,420856385.1349904,2.479437323174507,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BBDC4,BRADESCO,PN  EJ  N1,3630863136,4.35,420856385.1349904,8.627321015541666,MAI/2025 ATE AGO/2025,2025-08-24,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
