ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON  EJ,4764392126,4.518,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,786836317.4838845,6.0551248336317185,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
AMER3,AMERICANAS,ON      NM,1281517555,0.808,OTHERS,OTHERS,OTHERS,786836317.4838845,1.6286964982729681,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
ARZZ3,AREZZO CO,ON      NM,140931678,0.72,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,786836317.4838845,0.179111811273107,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
ASAI3,ASSAI,ON  EJ  NM,1255700672,1.597,OTHERS,OTHERS,OTHERS,786836317.4838845,1.5958855026105458,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
AURE3,AUREN,ON      NM,729254880,0.702,OTHERS,OTHERS,OTHERS,786836317.4838845,0.9268190394820409,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
AZUL4,AZUL,PN      N2,144918868,0.104,bens_industriais,transporte,transporte_aereo,786836317.4838845,0.18417918031975963,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
B3SA3,B3,ON  ED  NM,6394375474,5.494,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,786836317.4838845,8.126690814739835,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BBAS3,BRASIL,ON      NM,1607892707,3.647,financeiro,intermediarios_financeiros,bancos,786836317.4838845,2.0434907124542225,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BBDC3,BRADESCO,ON      N1,1991219043,1.752,financeiro,intermediarios_financeiros,bancos,786836317.4838845,2.5306648902117854,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BBDC4,BRADESCO,PN      N1,5587751703,5.528,financeiro,intermediarios_financeiros,bancos,786836317.4838845,7.101542695523133,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BEEF3,MINERVA,ON      NM,666157852,0.564,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,786836317.4838845,0.8466282468127736,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BPAC11,BTGP BANCO,UNT     N2,1497769288,2.342,OTHERS,OTHERS,OTHERS,786836317.4838845,1.9035334982878145,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BPAN4,BANCO PAN,PN  EJ  N1,1379758759,0.547,financeiro,intermediarios_financeiros,bancos,786836317.4838845,1.7535524585496265,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BRFS3,BRF SA,ON  ATZ NM,1744205143,0.943,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,786836317.4838845,2.216731871982668,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BRKM5,BRASKEM,PNA     N1,232728248,0.361,materiais_basicos,quimicos,petroquimicos,786836317.4838845,0.29577720655321255,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
BRML3,BR MALLS PAR,ON      NM,532975646,0.289,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,786836317.4838845,0.6773653352762483,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
CBAV3,CBA,ON      NM,153413233,0.116,materiais_basicos,mineracao,minerais_metalicos,786836317.4838845,0.19497477377579503,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
CCRO3,CCR SA,ON      NM,1535144278,1.085,bens_industriais,transporte,exploracao_de_rodovias,786836317.4838845,1.9510338349773007,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
CIEL3,CIELO,ON  EJ  NM,663314467,0.227,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,786836317.4838845,0.8430145536763249,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
CMIG4,CEMIG,PN  EJ  N1,1880874935,1.368,utilidade_publica,energia_eletrica,energia_eletrica,786836317.4838845,2.390427199667894,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
CMIN3,CSNMINERACAO,ON  EJ  N2,1110550596,0.296,OTHERS,OTHERS,OTHERS,786836317.4838845,1.4114124771862042,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
COGN3,COGNA ON,ON      NM,4843690490,0.671,consumo_ciclico,diversos,servicos_educacionais,786836317.4838845,6.155906104447455,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICO2
