ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
TTEN3,3TENTOS,ON      NM,113777586,0.294,consumo_nao_ciclico,agropecuaria,agricultura,146434253.1224054,0.7769875119647895,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
AALR3,ALLIAR,ON      NM,7916084,0.015,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,146434253.1224054,0.05405896387768571,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
ALPA4,ALPARGATAS,PN      N1,176733968,0.335,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,146434253.1224054,1.2069168533421402,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
ABEV3,AMBEV S/A,ON,4394245879,13.724,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,146434253.1224054,30.0083196745424,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
ANIM3,ANIMA,ON      NM,256834750,0.267,consumo_ciclico,diversos,servicos_educacionais,146434253.1224054,1.7539253591528892,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
ARZZ3,AREZZO CO,ON      NM,62305891,0.833,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,146434253.1224054,0.4254871361819838,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
ASAI3,ASSAI,ON      NM,1349217892,4.293,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,146434253.1224054,9.213813457102686,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
BLAU3,BLAU,ON      NM,29830740,0.089,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,146434253.1224054,0.20371422234840286,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
AGRO3,BRASILAGRO,ON      NM,63773043,0.368,consumo_nao_ciclico,agropecuaria,agricultura,146434253.1224054,0.4355063220535681,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
BRFS3,BRF SA,ON      NM,1677525446,5.349,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,146434253.1224054,11.455826831702723,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
CAML3,CAMIL,ON      NM,97829997,0.194,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,146434253.1224054,0.6680813738177995,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
CRFB3,CARREFOUR BR,ON      NM,533990587,1.412,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,146434253.1224054,3.6466234887928413,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
BHIA3,CASAS BAHIA,ON      NM,94843047,0.205,OTHERS,OTHERS,OTHERS,146434253.1224054,0.6476834823661103,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
CEAB3,CEA MODAS,ON      NM,103292235,0.173,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,146434253.1224054,0.7053830152270268,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
COGN3,COGNA ON,ON      NM,1814920980,1.298,consumo_ciclico,diversos,servicos_educacionais,146434253.1224054,12.394101388852613,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
CURY3,CURY S/A,ON      NM,120291325,0.518,consumo_ciclico,construcao_civil,incorporacoes,146434253.1224054,0.8214698571887251,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
CVCB3,CVC BRASIL,ON      NM,525582771,0.39,consumo_ciclico,viagens_e_lazer,viagens_e_turismo,146434253.1224054,3.589206485457072,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
CYRE3,CYRELA REALT,ON      NM,265784616,1.382,consumo_ciclico,construcao_civil,incorporacoes,146434253.1224054,1.815044023735545,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
DASA3,DASA,ON      NM,142275891,0.29,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,146434253.1224054,0.9716025312811928,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
PNVL3,DIMED,ON      NM,71294090,0.199,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,146434253.1224054,0.4868675769487128,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
DIRR3,DIRECIONAL,ON      NM,107596799,0.536,consumo_ciclico,construcao_civil,incorporacoes,146434253.1224054,0.7347788970525844,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
ESPA3,ESPACOLASER,ON      NM,188667444,0.046,consumo_ciclico,comercio,produtos_diversos,146434253.1224054,1.288410600505413,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
EVEN3,EVEN,ON      NM,190346865,0.331,consumo_ciclico,construcao_civil,incorporacoes,146434253.1224054,1.2998793720816655,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
EZTC3,EZTEC,ON      NM,91514307,0.343,consumo_ciclico,construcao_civil,incorporacoes,146434253.1224054,0.624951505871393,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
FLRY3,FLEURY,ON      NM,240822651,0.917,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,146434253.1224054,1.6445786820020496,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
GFSA3,GAFISA,ON      NM,61184833,0.197,consumo_ciclico,construcao_civil,incorporacoes,146434253.1224054,0.41783142738369533,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
GRND3,GRENDENE,ON      NM,268150259,0.422,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,146434253.1224054,1.8311990076246119,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
GMAT3,GRUPO MATEUS,ON      NM,463952163,0.715,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,146434253.1224054,3.16833085912064,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
NTCO3,GRUPO NATURA,ON      NM,846244302,3.359,consumo_nao_ciclico,produtos_de_uso_pessoal_e_de_limpeza,produtos_de_uso_pessoal,146434253.1224054,5.77900514364367,2024-01-23,2024-01-23,CARTEIRA_TEORICA_B3_ICON
