ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
TTEN3,3TENTOS,ON      NM,112455686,0.449,137932116.47758567,0.8152973279306879,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ALPA4,ALPARGATAS,PN      N1,153041091,0.277,137932116.47758567,1.1095392060113105,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ABEV3,AMBEV S/A,ON,4394835131,15.652,137932116.47758567,31.86230475709529,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ANIM3,ANIMA,ON  ED  NM,256712285,0.193,137932116.47758567,1.86114946653281,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ASAI3,ASSAI,ON  ED  NM,1345897506,3.006,137932116.47758567,9.75768037474225,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
AZZA3,AZZAS 2154,ON      NM,136643320,1.039,137932116.47758567,0.9906562988338172,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
BLAU3,BLAU,ON      NM,29680739,0.091,137932116.47758567,0.21518366974977288,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
SOJA3,BOA SAFRA,ON      NM,46233405,0.12,137932116.47758567,0.33518955686809204,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
AGRO3,BRASILAGRO,ON      NM,63480488,0.331,137932116.47758567,0.4602299277435922,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
BRFS3,BRF SA,ON      NM,832617717,4.649,137932116.47758567,6.0364310956926595,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
CAML3,CAMIL,ON      NM,96218424,0.102,137932116.47758567,0.6975781018747417,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
