ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
TTEN3,3TENTOS,ON      NM,112455686,0.449,consumo_nao_ciclico,agropecuaria,agricultura,137932116.47758567,0.8152973279306879,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ALPA4,ALPARGATAS,PN      N1,153041091,0.277,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,137932116.47758567,1.1095392060113105,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ABEV3,AMBEV S/A,ON,4394835131,15.652,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,137932116.47758567,31.86230475709529,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ANIM3,ANIMA,ON  ED  NM,256712285,0.193,consumo_ciclico,diversos,servicos_educacionais,137932116.47758567,1.86114946653281,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
ASAI3,ASSAI,ON  ED  NM,1345897506,3.006,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,137932116.47758567,9.75768037474225,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
AZZA3,AZZAS 2154,ON      NM,136643320,1.039,OTHERS,OTHERS,OTHERS,137932116.47758567,0.9906562988338172,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
BLAU3,BLAU,ON      NM,29680739,0.091,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,137932116.47758567,0.21518366974977288,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
SOJA3,BOA SAFRA,ON      NM,46233405,0.12,consumo_nao_ciclico,agropecuaria,agricultura,137932116.47758567,0.33518955686809204,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
AGRO3,BRASILAGRO,ON      NM,63480488,0.331,consumo_nao_ciclico,agropecuaria,agricultura,137932116.47758567,0.4602299277435922,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
BRFS3,BRF SA,ON      NM,832617717,4.649,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,137932116.47758567,6.0364310956926595,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
CAML3,CAMIL,ON      NM,96218424,0.102,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,137932116.47758567,0.6975781018747417,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
CRFB3,CARREFOUR BR,ON      NM,686507579,1.451,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,137932116.47758567,4.977140904754835,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
BHIA3,CASAS BAHIA,ON      NM,94965690,0.125,OTHERS,OTHERS,OTHERS,137932116.47758567,0.6884958516201132,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ICON
