ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AALR3,ALLIAR,ON      NM,42288232,0.161,143217054.51439208,0.29527371683063347,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ABEV3,AMBEV S/A,ON,4380195841,12.486,143217054.51439208,30.58431732067097,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
AGRO3,BRASILAGRO,ON      NM,51771532,0.345,143217054.51439208,0.3614899927633787,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ALLD3,ALLIED,ON      NM,32273738,0.085,143217054.51439208,0.22534842731845717,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ALPA4,ALPARGATAS,PN      N1,201257220,0.774,143217054.51439208,1.4052601534252012,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
AMAR3,LOJAS MARISA,ON      NM,155296395,0.071,143217054.51439208,1.0843428914703315,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
AMER3,AMERICANAS,ON      NM,596875824,2.812,143217054.51439208,4.167630915353165,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ANIM3,ANIMA,ON      NM,272810577,0.297,143217054.51439208,1.9048749321442362,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ARZZ3,AREZZO CO,ON      NM,60235329,1.053,143217054.51439208,0.4205876821321365,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ASAI3,ASSAI,ON  ED  NM,794531367,2.383,143217054.51439208,5.547742688145821,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BEEF3,MINERVA,ON  ED  NM,260409710,0.671,143217054.51439208,1.8182870111592127,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BKBR3,BK BRASIL,ON      NM,272582179,0.337,143217054.51439208,1.9032801639738224,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BLAU3,BLAU,ON      NM,31393939,0.153,143217054.51439208,0.21920531117224715,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BRFS3,BRF SA,ON      NM,1076512610,2.87,143217054.51439208,7.516650957877505,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CAML3,CAMIL,ON      NM,109940797,0.185,143217054.51439208,0.7676515717543395,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CEAB3,CEA MODAS,ON      NM,106394635,0.091,143217054.51439208,0.7428908195378942,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
COGN3,COGNA ON,ON      NM,1828106676,0.879,143217054.51439208,12.764587864193864,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CRFB3,CARREFOUR BR,ON  ED  NM,410988561,1.66,143217054.51439208,2.869690082606043,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CSED3,CRUZEIRO EDU,ON      NM,77755200,0.054,143217054.51439208,0.5429185809165366,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CURY3,CURY S/A,ON      NM,104486454,0.14,143217054.51439208,0.7295671200213101,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CVCB3,CVC BRASIL,ON      NM,224231429,0.584,143217054.51439208,1.5656754690305872,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CYRE3,CYRELA REALT,ON  ED  NM,281609283,0.782,143217054.51439208,1.9663110930109284,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
DASA3,DASA,ON      NM,70772973,0.316,143217054.51439208,0.49416581872857834,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
DIRR3,DIRECIONAL,ON      NM,75384053,0.17,143217054.51439208,0.5263622635977655,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ESPA3,ESPACOLASER,ON      NM,161437857,0.132,143217054.51439208,1.1272250888512505,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
EVEN3,EVEN,ON      NM,199399963,0.209,143217054.51439208,1.392292026086614,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
EZTC3,EZTEC,ON      NM,101618236,0.312,143217054.51439208,0.7095400498534079,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
FLRY3,FLEURY,ON      NM,303373882,0.859,143217054.51439208,2.118280417291458,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
GFSA3,GAFISA,ON      NM,118208091,0.036,143217054.51439208,0.8253771968765152,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
GMAT3,GRUPO MATEUS,ON      NM,463952163,0.431,143217054.51439208,3.23950359524659,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
GRND3,GRENDENE,ON      NM,267057056,0.495,143217054.51439208,1.8647014973566787,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
