ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AALR3,ALLIAR,ON      NM,42015455,0.215,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,143669798.167872,0.2924445884646315,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ABEV3,AMBEV S/A,ON  EJ,4386652506,15.105,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,143669798.167872,30.532878600374897,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
AGRO3,BRASILAGRO,ON      NM,59212546,0.421,consumo_nao_ciclico,agropecuaria,agricultura,143669798.167872,0.4121433088589202,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ALPA4,ALPARGATAS,PN      N1,202765994,0.725,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,143669798.167872,1.4113334645537443,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
AMAR3,LOJAS MARISA,ON      NM,156188662,0.046,OTHERS,OTHERS,OTHERS,143669798.167872,1.087136364022035,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
AMER3,AMERICANAS,ON      NM,611169249,1.399,OTHERS,OTHERS,OTHERS,143669798.167872,4.253985575213761,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ANIM3,ANIMA,ON      NM,256780519,0.235,consumo_ciclico,diversos,servicos_educacionais,143669798.167872,1.7872964413854258,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ARZZ3,AREZZO CO,ON      NM,60758326,1.128,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,143669798.167872,0.4229025638986873,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
ASAI3,ASSAI,ON  EJ  NM,935793199,4.321,OTHERS,OTHERS,OTHERS,143669798.167872,6.513499781676909,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BEEF3,MINERVA,ON      NM,260340982,0.8,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,143669798.167872,1.812078706311,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BLAU3,BLAU,ON  EJ  NM,29837192,0.186,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,143669798.167872,0.2076789442213632,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
BRFS3,BRF SA,ON  ATZ NM,1076512610,2.114,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,143669798.167872,7.4929638917021455,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CAML3,CAMIL,ON      NM,100468497,0.197,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,143669798.167872,0.6993014417867203,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
CEAB3,CEA MODAS,ON      NM,105355935,0.057,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,143669798.167872,0.7333199903078871,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ICON
