ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,108769585,0.411,62073090.88574185,1.7522824052730441,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
ALUP11,ALUPAR,UNT     N2,236991795,1.493,62073090.88574185,3.8179473845797625,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
B3SA3,B3,ON      NM,1041121831,2.931,62073090.88574185,16.772514726492297,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
BRSR6,BANRISUL,PNB ED  N1,329547255,0.824,62073090.88574185,5.309019581554248,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
BBSE3,BBSEGURIDADE,ON      NM,474778215,3.583,62073090.88574185,7.648696209987769,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
BRAP4,BRADESPAR,PN  ED  N1,408417134,2.07,62073090.88574185,6.579616516145053,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
BBAS3,BRASIL,ON      NM,454315169,4.429,62073090.88574185,7.319035712854374,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
AGRO3,BRASILAGRO,ON      NM,96345081,0.514,62073090.88574185,1.5521231442678232,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CMIG3,CEMIG,ON  ED  N1,587008371,2.606,62073090.88574185,9.45672855377072,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CMIG4,CEMIG,PN  ED  N1,1872675953,5.01,62073090.88574185,30.168885200948683,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CSMG3,COPASA,ON      NM,306659352,1.243,62073090.88574185,4.9402945402617195,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CPLE6,COPEL,PNB     N2,2543761198,4.501,62073090.88574185,40.98009558896157,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CPFE3,CPFL ENERGIA,ON  ED  NM,305460715,2.143,62073090.88574185,4.920984449803902,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CMIN3,CSNMINERACAO,ON  ED  N2,1806983398,1.862,62073090.88574185,29.110575487953717,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
CURY3,CURY S/A,ON  ED  NM,195726721,0.524,62073090.88574185,3.153165376608599,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
DIRR3,DIRECIONAL,ON      NM,134880397,0.468,62073090.88574185,2.172928640661294,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
ENAT3,ENAUTA PART,ON  ED  NM,125834095,0.348,62073090.88574185,2.0271923502508233,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
ENBR3,ENERGIAS BR,ON      NM,400313903,2.037,62073090.88574185,6.449073137615446,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
EGIE3,ENGIE BRASIL,ON      NM,342858131,3.347,62073090.88574185,5.52345833126145,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
FESA4,FERBASA,PN      N1,65889815,0.755,62073090.88574185,1.0614875795581633,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
GGBR4,GERDAU,PN      N1,1246214510,6.964,62073090.88574185,20.07656606457557,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
GOAU4,GERDAU MET,PN      N1,1085596054,2.814,62073090.88574185,17.488996254403705,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
MYPK3,IOCHP-MAXION,ON      NM,213585142,0.569,62073090.88574185,3.4408652598457983,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
RANI3,IRANI,ON      NM,166093446,0.307,62073090.88574185,2.6757721200919216,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
ITSA4,ITAUSA,PN      N1,1458391264,2.873,62073090.88574185,23.494742136886106,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
JBSS3,JBS,ON      NM,1064607653,4.387,62073090.88574185,17.150872267012236,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
JHSF3,JHSF PART,ON      NM,486536108,0.439,62073090.88574185,7.838116340872547,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
KEPL3,KEPLER WEBER,ON,290658389,0.475,62073090.88574185,4.682518380388305,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
LAVV3,LAVVI,ON      NM,120161978,0.144,62073090.88574185,1.935814316402941,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
MRFG3,MARFRIG,ON      NM,476070470,0.722,62073090.88574185,7.669514490204854,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
BEEF3,MINERVA,ON      NM,423602341,0.841,62073090.88574185,6.824250813927185,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
PETR3,PETROBRAS,ON  EDR N2,724055540,4.372,62073090.88574185,11.664563978822505,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
PETR4,PETROBRAS,PN  EDR N2,840133883,4.545,62073090.88574185,13.534590770523048,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
PSSA3,PORTO SEGURO,ON      NM,292488172,1.574,62073090.88574185,4.711996258384877,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
RAPT4,RANDON PART,PN      N1,289205320,0.579,62073090.88574185,4.659109380139314,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
ROMI3,ROMI,ON      NM,73369157,0.238,62073090.88574185,1.1819800811119725,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
SANB11,SANTANDER BR,UNT,529768945,3.358,62073090.88574185,8.534599090210403,2023-05-08,2023-05-07,CARTEIRA_TEORICA_B3_IDIV
