ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,128429717,0.51,financeiro,intermediarios_financeiros,bancos,56643211.24911551,2.26734526817643,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
AURE3,AUREN,ON      NM,507086801,0.987,utilidade_publica,energia_eletrica,energia_eletrica,56643211.24911551,8.952296132538182,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
BRSR6,BANRISUL,PNB     N1,352052907,0.752,financeiro,intermediarios_financeiros,bancos,56643211.24911551,6.215270978399857,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
BBSE3,BBSEGURIDADE,ON      NM,554047763,3.606,financeiro,previdencia_e_seguros,seguradoras,56643211.24911551,9.781362157652238,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
BBDC3,BRADESCO,ON      N1,1096959298,2.654,financeiro,intermediarios_financeiros,bancos,56643211.24911551,19.36612126695287,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
BBDC4,BRADESCO,PN      N1,967823238,2.641,financeiro,intermediarios_financeiros,bancos,56643211.24911551,17.08630596071851,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
BRAP4,BRADESPAR,PN      N1,436239898,1.627,materiais_basicos,mineracao,minerais_metalicos,56643211.24911551,7.701538955505669,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
BBAS3,BRASIL,ON      NM,840476241,4.203,financeiro,intermediarios_financeiros,bancos,56643211.24911551,14.838075428026233,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
AGRO3,BRASILAGRO,ON  ED  NM,110925545,0.496,consumo_nao_ciclico,agropecuaria,agricultura,56643211.24911551,1.9583202038484728,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CXSE3,CAIXA SEGURI,ON      NM,899528894,2.46,financeiro,previdencia_e_seguros,seguradoras,56643211.24911551,15.880612595283361,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CMIG3,CEMIG,ON      N1,815229841,2.246,utilidade_publica,energia_eletrica,energia_eletrica,56643211.24911551,14.392366234580845,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CMIG4,CEMIG,PN      N1,2289868748,4.944,utilidade_publica,energia_eletrica,energia_eletrica,56643211.24911551,40.426181664192924,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CSMG3,COPASA,ON      NM,327589125,1.434,utilidade_publica,agua_e_saneamento,agua_e_saneamento,56643211.24911551,5.7833784098022045,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CPFE3,CPFL ENERGIA,ON      NM,326320468,2.031,utilidade_publica,energia_eletrica,energia_eletrica,56643211.24911551,5.76098107441067,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CMIN3,CSNMINERACAO,ON      N2,1930396559,2.277,OTHERS,OTHERS,OTHERS,56643211.24911551,34.0799279636559,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CURY3,CURY S/A,ON      NM,231387381,1.074,consumo_ciclico,construcao_civil,incorporacoes,56643211.24911551,4.084997582187983,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
DIRR3,DIRECIONAL,ON      NM,190902582,1.134,consumo_ciclico,construcao_civil,incorporacoes,56643211.24911551,3.370264110917281,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
EGIE3,ENGIE BRASIL,ON      NM,343948352,2.709,utilidade_publica,energia_eletrica,energia_eletrica,56643211.24911551,6.072190195702769,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
FESA4,FERBASA,PN      N1,279100328,0.401,materiais_basicos,siderurgia_e_metalurgia,siderurgia,56643211.24911551,4.927339425946798,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
FLRY3,FLEURY,ON      NM,807265301,2.272,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,56643211.24911551,14.251757327981744,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
GGBR4,GERDAU,PN      N1,1686781638,5.862,materiais_basicos,siderurgia_e_metalurgia,siderurgia,56643211.24911551,29.779060911316876,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
GOAU4,GERDAU MET,PN      N1,1149967505,2.243,materiais_basicos,siderurgia_e_metalurgia,siderurgia,56643211.24911551,20.301947570424105,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
RANI3,IRANI,ON      NM,184563956,0.265,materiais_basicos,embalagens,embalagens,56643211.24911551,3.2583596856522146,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
ITSA4,ITAUSA,PN      N1,1419591713,2.86,financeiro,intermediarios_financeiros,bancos,56643211.24911551,25.061992102754715,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
JBSS3,JBS,ON      NM,420927143,2.879,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,56643211.24911551,7.431201969619489,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
JHSF3,JHSF PART,ON  ED  NM,509162651,0.426,consumo_ciclico,construcao_civil,incorporacoes,56643211.24911551,8.988943948829359,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
KEPL3,KEPLER WEBER,ON      NM,306289002,0.59,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,56643211.24911551,5.407338236050004,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
KLBN11,KLABIN S/A,UNT     N2,773274638,3.063,materiais_basicos,madeira_e_papel,papel_e_celulose,56643211.24911551,13.65167371247997,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
LAVV3,LAVVI,ON      NM,128541599,0.207,consumo_ciclico,construcao_civil,incorporacoes,56643211.24911551,2.2693204739872015,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
POMO4,MARCOPOLO,PN      N2,1158312386,1.861,bens_industriais,material_de_transporte,material_rodoviario,56643211.24911551,20.449271156357455,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
LEVE3,METAL LEVE,ON      NM,91892527,0.522,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,56643211.24911551,1.622304332214832,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
MTRE3,MITRE REALTY,ON  ED  NM,99401713,0.07,consumo_ciclico,construcao_civil,incorporacoes,56643211.24911551,1.7548742525001557,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
PETR3,PETROBRAS,ON      N2,594029632,4.406,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,56643211.24911551,10.487216718477907,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
PETR4,PETROBRAS,PN      N2,723741231,4.936,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,56643211.24911551,12.777192801040236,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
SAPR4,SANEPAR,PN      N2,1751177224,1.842,utilidade_publica,agua_e_saneamento,agua_e_saneamento,56643211.24911551,30.91592417489121,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
SANB11,SANTANDER BR,UNT,442499960,2.286,financeiro,intermediarios_financeiros,bancos,56643211.24911551,7.812056383136464,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
STBP3,SANTOS BRP,ON  EDJ NM,1392881944,3.341,bens_industriais,transporte,servicos_de_apoio_e_armazenagem,56643211.24911551,24.5904480569461,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
CSNA3,SID NACIONAL,ON,1279796520,2.861,OTHERS,OTHERS,OTHERS,56643211.24911551,22.59399655806033,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
TAEE11,TAESA,UNT     N2,379919694,2.527,utilidade_publica,energia_eletrica,energia_eletrica,56643211.24911551,6.707241443800249,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
TASA4,TAURUS ARMAS,PN      N2,117754487,0.21,bens_industriais,maquinas_e_equipamentos,armas_e_municoes,56643211.24911551,2.0788808473820195,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IDIV
