ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,115550835,0.428,63098725.15344156,1.8312705164645877,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
ALUP11,ALUPAR,UNT     N2,253142813,1.429,63098725.15344156,4.011853050666476,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
AURE3,AUREN,ON      NM,524815447,1.426,63098725.15344156,8.317370053416607,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
B3SA3,B3,ON      NM,998265395,2.576,63098725.15344156,15.820690395446952,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BRSR6,BANRISUL,PNB     N1,351406678,0.858,63098725.15344156,5.569156542314602,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BBSE3,BBSEGURIDADE,ON      NM,575805341,3.491,63098725.15344156,9.125467108880157,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BRAP4,BRADESPAR,PN      N1,436242300,1.959,63098725.15344156,6.913646812026062,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BBAS3,BRASIL,ON      NM,444424780,4.178,63098725.15344156,7.04332423387733,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
AGRO3,BRASILAGRO,ON      NM,103821205,0.493,63098725.15344156,1.645377220340518,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CXSE3,CAIXA SEGURI,ON      NM,899411546,1.939,63098725.15344156,14.25403673073962,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CMIG3,CEMIG,ON      N1,627018028,2.464,63098725.15344156,9.937095028072859,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CMIG4,CEMIG,PN      N1,1654539490,4.072,63098725.15344156,26.22144086075497,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CSMG3,COPASA,ON      NM,327558222,1.172,63098725.15344156,5.191201901519466,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CPLE3,COPEL,ON      N2,2231542516,3.608,63098725.15344156,35.36588909797152,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CPLE6,COPEL,PNB     N2,2918673526,5.045,63098725.15344156,46.255665528938316,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CPFE3,CPFL ENERGIA,ON      NM,326277898,2.224,63098725.15344156,5.170911095375815,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CMIN3,CSNMINERACAO,ON      N2,1930144730,1.649,63098725.15344156,30.58928251412897,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
DIRR3,DIRECIONAL,ON      NM,187002518,0.756,63098725.15344156,2.9636497020384,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
EGIE3,ENGIE BRASIL,ON      NM,362532111,3.048,63098725.15344156,5.745474415186764,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
FESA4,FERBASA,PN      N1,70380213,0.65,63098725.15344156,1.115398335368132,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
FLRY3,FLEURY,ON      NM,600076898,1.768,63098725.15344156,9.510127130789904,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
GGBR4,GERDAU,PN      N1,1041522860,5.373,63098725.15344156,16.506242518644495,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
GOAU4,GERDAU MET,PN      N1,1147790291,2.708,63098725.15344156,18.190387970736943,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
GRND3,GRENDENE,ON      NM,466043360,0.633,63098725.15344156,7.38593939682125,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
RANI3,IRANI,ON      NM,178601173,0.391,63098725.15344156,2.8305036681118847,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
ITSA4,ITAUSA,PN      N1,1289598497,2.378,63098725.15344156,20.437790048277417,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
JBSS3,JBS,ON      NM,837785439,3.077,63098725.15344156,13.277375049380138,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
JHSF3,JHSF PART,ON      NM,480583944,0.46,63098725.15344156,7.61638119995817,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
KEPL3,KEPLER WEBER,ON  EDJ NM,306818591,0.687,63098725.15344156,4.862516481179102,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
KLBN11,KLABIN S/A,UNT     N2,659396424,2.995,63098725.15344156,10.450233699595353,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
LAVV3,LAVVI,ON      NM,128351031,0.21,63098725.15344156,2.034130336038959,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
MRFG3,MARFRIG,ON      NM,508514727,0.752,63098725.15344156,8.0590332968441,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
LEVE3,METAL LEVE,ON      NM,66899739,0.64,63098725.15344156,1.060239154393615,PRÉ/IA - ATE PRÉ/IA - - 20230901,2023-09-16,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
