ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,120838696,0.581,financeiro,intermediarios_financeiros,bancos,57770321.16159274,2.0917089185292053,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
AURE3,AUREN,ON      NM,505071695,1.192,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,8.742753802376042,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BRSR6,BANRISUL,PNB     N1,338764348,0.897,financeiro,intermediarios_financeiros,bancos,57770321.16159274,5.863985887362864,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BBSE3,BBSEGURIDADE,ON      NM,586206865,3.781,financeiro,previdencia_e_seguros,seguradoras,57770321.16159274,10.147197613118449,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BBDC3,BRADESCO,ON      N1,968213414,2.446,financeiro,intermediarios_financeiros,bancos,57770321.16159274,16.759702811617643,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BRAP4,BRADESPAR,PN      N1,419830703,1.714,materiais_basicos,mineracao,minerais_metalicos,57770321.16159274,7.267238515528883,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BBAS3,BRASIL,ON      NM,313223020,3.517,financeiro,intermediarios_financeiros,bancos,57770321.16159274,5.421867382801381,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
AGRO3,BRASILAGRO,ON      NM,106738559,0.52,consumo_nao_ciclico,agropecuaria,agricultura,57770321.16159274,1.8476365866382385,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CXSE3,CAIXA SEGURI,ON      NM,865575351,2.681,financeiro,previdencia_e_seguros,seguradoras,57770321.16159274,14.983045508416833,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CMIG3,CEMIG,ON  EJ  N1,603429378,1.747,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,10.445318043361961,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CMIG4,CEMIG,PN  EJ  N1,1611911809,4.015,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,27.902074570283716,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CIEL3,CIELO,ON      NM,1832280561,1.962,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,57770321.16159274,31.716641419991785,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CSMG3,COPASA,ON  EDJ NM,315223973,1.362,utilidade_publica,agua_e_saneamento,agua_e_saneamento,57770321.16159274,5.456503731704531,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CPLE3,COPEL,ON      N2,2174944465,3.731,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,37.64812833420704,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CPLE6,COPEL,PNB     N2,2445010779,4.665,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,42.32295631801869,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CPFE3,CPFL ENERGIA,ON      NM,314003202,2.168,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,5.435372275699893,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CMIN3,CSNMINERACAO,ON      N2,1857531971,1.952,OTHERS,OTHERS,OTHERS,57770321.16159274,32.153741465348425,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
CURY3,CURY S/A,ON      NM,210169932,0.849,consumo_ciclico,construcao_civil,incorporacoes,57770321.16159274,3.6380260274496554,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
DIRR3,DIRECIONAL,ON      NM,181412115,0.922,consumo_ciclico,construcao_civil,incorporacoes,57770321.16159274,3.140230335444416,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
EGIE3,ENGIE BRASIL,ON      NM,358455978,2.862,utilidade_publica,energia_eletrica,energia_eletrica,57770321.16159274,6.204846550832595,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
EVEN3,EVEN,ON      NM,318375950,0.53,consumo_ciclico,construcao_civil,incorporacoes,57770321.16159274,5.511064221184647,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
FESA4,FERBASA,PN      N1,268700514,0.462,materiais_basicos,siderurgia_e_metalurgia,siderurgia,57770321.16159274,4.651186086509751,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
FLRY3,FLEURY,ON  ED  NM,402802223,1.198,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,57770321.16159274,6.972476782209647,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
GGBR4,GERDAU,PN      N1,1138486162,5.012,materiais_basicos,siderurgia_e_metalurgia,siderurgia,57770321.16159274,19.707111525578572,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
GOAU4,GERDAU MET,PN      N1,1104609995,2.254,materiais_basicos,siderurgia_e_metalurgia,siderurgia,57770321.16159274,19.120717572440544,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
GRND3,GRENDENE,ON      NM,447682039,0.587,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,57770321.16159274,7.74934308825742,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
RANI3,IRANI,ON      NM,178165576,0.325,materiais_basicos,embalagens,embalagens,57770321.16159274,3.084032984716195,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
JBSS3,JBS,ON      NM,690131790,2.943,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,57770321.16159274,11.946130402661119,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
JHSF3,JHSF PART,ON  ED  NM,500532008,0.481,consumo_ciclico,construcao_civil,incorporacoes,57770321.16159274,8.664172155109416,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
KEPL3,KEPLER WEBER,ON      NM,295342866,0.619,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,57770321.16159274,5.112363235334615,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
KLBN11,KLABIN S/A,UNT     N2,471372472,2.361,materiais_basicos,madeira_e_papel,papel_e_celulose,57770321.16159274,8.159422736832232,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
LAVV3,LAVVI,ON      NM,123522418,0.233,consumo_ciclico,construcao_civil,incorporacoes,57770321.16159274,2.138163948482963,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
POMO4,MARCOPOLO,PN      N2,1114853607,1.667,bens_industriais,material_de_transporte,material_rodoviario,57770321.16159274,19.298033740916516,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
LEVE3,METAL LEVE,ON      NM,88423959,0.606,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,57770321.16159274,1.530612210942435,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
BEEF3,MINERVA,ON      NM,436611565,0.584,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,57770321.16159274,7.557713999524571,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
MTRE3,MITRE REALTY,ON      NM,87377747,0.088,consumo_ciclico,construcao_civil,incorporacoes,57770321.16159274,1.51250235835786,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
PETR3,PETROBRAS,ON      N2,627392031,4.763,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,57770321.16159274,10.860109800066459,MAI/2024 ATE AGO/2024 - 20240401,2024-04-13,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IDIV
