ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,73645365,0.318,financeiro,intermediarios_financeiros,bancos,52668189.21199314,1.3982892919210164,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
AESB3,AES BRASIL,ON      NM,285740679,0.862,OTHERS,OTHERS,OTHERS,52668189.21199314,5.425299089928339,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
AGRO3,BRASILAGRO,ON      NM,56407718,0.524,consumo_nao_ciclico,agropecuaria,agricultura,52668189.21199314,1.0710016585714575,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
ALUP11,ALUPAR,UNT     N2,152591968,1.095,utilidade_publica,energia_eletrica,energia_eletrica,52668189.21199314,2.8972320917623855,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
B3SA3,B3,ON      NM,1236848086,4.492,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,52668189.21199314,23.483778434485377,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BBAS3,BRASIL,ON      NM,486657262,4.415,financeiro,intermediarios_financeiros,bancos,52668189.21199314,9.240060637763158,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BBDC3,BRADESCO,ON  EB  N1,1029840585,4.193,financeiro,intermediarios_financeiros,bancos,52668189.21199314,19.553369888127722,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BBDC4,BRADESCO,PN  EB  N1,791674286,3.887,financeiro,intermediarios_financeiros,bancos,52668189.21199314,15.03135569771453,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BBSE3,BBSEGURIDADE,ON      NM,731774722,5.082,financeiro,previdencia_e_seguros,seguradoras,52668189.21199314,13.894055082367757,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BEEF3,MINERVA,ON  ED  NM,283729628,1.017,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,52668189.21199314,5.387115681117655,MAI/2022 ATE AGO/2022,2022-08-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
