ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,20000,5.856,42.46540537,470.9716020779858,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
ALUP11,ALUPAR,UNT     N2,6800,5.629,42.46540537,160.13034470651516,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
AURE3,AUREN,ON      NM,12600,5.707,42.46540537,296.71210930913105,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
CMIG4,CEMIG,PN  EJ  N1,16400,5.468,42.46540537,386.1967137039483,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
COCE5,COELCE,PNA,4300,5.48,42.46540537,101.25889444676694,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
CPLE6,COPEL,PNB     N2,28800,6.73,42.46540537,678.1991069922996,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
CPFE3,CPFL ENERGIA,ON      NM,5600,5.449,42.46540537,131.87204858183603,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
ELET3,ELETROBRAS,ON      N1,4200,5.48,42.46540537,98.90403643637701,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
ENBR3,ENERGIAS BR,ON      NM,8600,5.309,42.46540537,202.5177888935339,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
ENGI11,ENERGISA,UNT     N2,4600,6.068,42.46540537,108.32346847793673,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
ENEV3,ENEVA,ON      NM,12500,4.548,42.46540537,294.3572512987411,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
EGIE3,ENGIE BRASIL,ON      NM,4900,5.655,42.46540537,115.38804250910651,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
EQTL3,EQUATORIAL,ON      NM,8000,6.559,42.46540537,188.38864083119432,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
LIGT3,LIGHT S/A,ON      NM,34300,5.073,42.46540537,807.7162975637456,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
NEOE3,NEOENERGIA,ON      NM,11700,5.382,42.46540537,275.51838721562166,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
MEGA3,OMEGAENERGIA,ON      NM,17300,5.049,42.46540537,407.3904357974577,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
TAEE11,TAESA,UNT     N2,4800,4.976,42.46540537,113.0331844987166,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
TRPL4,TRAN PAULIST,PN      N1,8100,5.582,42.46540537,190.74349884158423,2022-12-22,2022-12-22,CARTEIRA_TEORICA_B3_IEEX
