ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,20700,6.838,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,562.3384887455636,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
ALUP11,ALUPAR,UNT ED  N2,7200,6.575,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,195.59599608541345,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
AURE3,AUREN,ON      NM,16900,5.642,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,459.1072685893732,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
CMIG4,CEMIG,PN      N1,20300,6.988,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,551.4720445185962,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
COCE5,COELCE,PNA,5900,5.351,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,160.28005234776936,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
CPLE6,COPEL,PNB     N2,21600,6.611,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,586.7879882562403,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
CPFE3,CPFL ENERGIA,ON      NM,6200,5.963,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,168.4298855179949,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
ELET3,ELETROBRAS,ON      N1,5200,6.228,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,141.26377495057636,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
ENGI11,ENERGISA,UNT ED  N2,4500,6.414,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,122.2474975533834,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
ENEV3,ENEVA,ON      NM,15900,6.306,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,431.94115802195466,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
EGIE3,ENGIE BRASIL,ON      NM,4900,6.595,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,133.1139417803508,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
EQTL3,EQUATORIAL,ON  ES  NM,6500,6.739,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,176.57971868822045,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
NEOE3,NEOENERGIA,ON      NM,10300,5.718,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,279.8109388444109,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
SRNA3,SERENA,ON      NM,23900,6.291,OTHERS,OTHERS,OTHERS,36.81056946,649.270042561303,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
TAEE11,TAESA,UNT EDJ N2,5800,5.973,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,157.5634412910275,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
TRPL4,TRAN PAULIST,PN      N1,7900,5.768,utilidade_publica,energia_eletrica,energia_eletrica,36.81056946,214.6122734826064,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_IEEX
