ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,20000,5.569,42.49823734,470.6077534461809,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ALUP11,ALUPAR,UNT     N2,6800,5.43,42.49823734,160.0066361717015,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
AURE3,AUREN,ON      NM,12600,5.356,42.49823734,296.482884671094,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
CMIG4,CEMIG,PN      N1,16000,5.494,42.49823734,376.4862027569447,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
COCE5,COELCE,PNA,4300,5.607,42.49823734,101.1806669909289,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
CPFE3,CPFL ENERGIA,ON      NM,5600,5.68,42.49823734,131.77017096493066,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
CPLE6,COPEL,PNB     N2,27800,5.557,42.49823734,654.1447772901914,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
EGIE3,ENGIE BRASIL,ON      NM,4800,5.523,42.49823734,112.94586082708342,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ELET3,ELETROBRAS,ON      N1,4200,5.539,42.49823734,98.82762822369799,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ENBR3,ENERGIAS BR,ON      NM,8600,5.579,42.49823734,202.3613339818578,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ENEV3,ENEVA,ON      NM,12500,5.653,42.49823734,294.12984590386304,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ENGI11,ENERGISA,UNT ED  N2,4600,5.695,42.49823734,108.23978329262161,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
EQTL3,EQUATORIAL,ON      NM,8000,5.533,42.49823734,188.24310137847235,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
LIGT3,LIGHT S/A,ON      NM,34300,5.67,42.49823734,807.0922971602002,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
MEGA3,OMEGAENERGIA,ON      NM,17300,5.568,42.49823734,407.0757067309465,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
NEOE3,NEOENERGIA,ON      NM,11700,5.5,42.49823734,275.30553576601585,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
TAEE11,TAESA,UNT     N2,4700,5.613,42.49823734,110.59282205985251,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
TRPL4,TRAN PAULIST,PN      N1,8100,5.434,42.49823734,190.59614014570326,SET/2022 ATE DEZ/2022,2022-10-23,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
