ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,18300,5.727,OTHERS,OTHERS,OTHERS,42.44530087,431.1431330419499,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ALUP11,ALUPAR,UNT     N2,7700,5.731,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,181.40995215426307,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
AURE3,AUREN,ON      NM,13100,5.439,OTHERS,OTHERS,OTHERS,42.44530087,308.6325160027073,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
CMIG4,CEMIG,PN      N1,13300,4.078,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,313.34446281190895,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
COCE5,COELCE,PNA,3800,5.849,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,89.52698937483112,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
CPFE3,CPFL ENERGIA,ON      NM,5600,5.219,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,131.93451065764586,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
CPLE6,COPEL,PNB     N2,26500,5.195,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,624.3329522192171,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
EGIE3,ENGIE BRASIL,ON      NM,4800,5.696,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,113.08672342083932,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ELET3,ELETROBRAS,ON  EDR N1,5100,5.847,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,120.15464363464177,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ENBR3,ENERGIAS BR,ON      NM,9300,5.579,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,219.10552662787617,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ENEV3,ENEVA,ON      NM,14800,5.751,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,348.6840638809212,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
ENGI11,ENERGISA,UNT     N2,4200,5.667,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,98.9508829932344,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
EQTL3,EQUATORIAL,ON      NM,7700,5.452,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,181.40995215426307,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
LIGT3,LIGHT S/A,ON  ED  NM,22500,5.691,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,530.0940160351843,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
MEGA3,OMEGAENERGIA,ON      NM,19700,5.959,OTHERS,OTHERS,OTHERS,42.44530087,464.1267607063614,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
NEOE3,NEOENERGIA,ON  ED  NM,11200,5.957,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,263.8690213152917,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
TAEE11,TAESA,UNT     N2,4500,5.605,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,106.01880320703685,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
TRPL4,TRAN PAULIST,PN      N1,7800,5.558,utilidade_publica,energia_eletrica,energia_eletrica,42.44530087,183.7659255588639,MAI/2022 ATE AGO/2022,2022-09-03,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IEEX
