ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
CACR11,CARTESIA FII,CI  ER,5043279,0.369,41583011.2847493,0.12128219780585343,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BPFF11,FII ABSOLUTO,CI  ER,4492326,0.23,41583011.2847493,0.10803272445176607,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
AFHI11,FII AFHI CRI,CI,5249560,0.366,41583011.2847493,0.12624290155545548,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
AJFI11,FII AJ MALLS,CI,31625978,0.204,41583011.2847493,0.7605504513233492,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
ALZR11,FII ALIANZA,CI,13360405,1.041,41583011.2847493,0.32129479292664814,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
RZAT11,FII ARCTIUM,CI,3708168,0.248,41583011.2847493,0.08917507139171478,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
FATN11,FII ATHENA I,CI  ER,2359735,0.163,41583011.2847493,0.056747573758936506,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
ARRI11,FII ATRIO,CI  ERS,21460744,0.139,41583011.2847493,0.5160940330425468,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
AIEC11,FII AUTONOMY,CI  ER,4824987,0.185,41583011.2847493,0.11603265013588805,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BARI11,FII BARIGUI,CI  ER,4634191,0.262,41583011.2847493,0.11144433403983911,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BCFF11,FII BC FFII,CI,201491024,1.255,41583011.2847493,4.845513053882596,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BRCR11,FII BC FUND,CI,26638202,1.041,41583011.2847493,0.6406030053376545,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BCIA11,FII BCIA,CI  ER,3719038,0.282,41583011.2847493,0.08943647622181632,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BCRI11,FII BEES CRI,CI  ER,6257873,0.301,41583011.2847493,0.1504910973654064,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BLMG11,FII BLUE LOG,CI,4268807,0.117,41583011.2847493,0.10265747640949703,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BRCO11,FII BRESCO,CI  ER,17279824,1.411,41583011.2847493,0.4155500880316821,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BROF11,FII BROF,CI,11610812,0.464,41583011.2847493,0.27922008631102435,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BTAL11,FII BTG AGRO,CI,5982736,0.318,41583011.2847493,0.14387452508025045,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BTCI11,FII BTG CRI,CI,99521172,0.724,41583011.2847493,2.3933132528211036,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BTRA11,FII BTG TAGR,CI,3364559,0.125,41583011.2847493,0.0809118651114611,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
BTLG11,FII BTLG,CI,43249151,3.12,41583011.2847493,1.0400677984535902,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
CPFF11,FII CAP REIT,CI,2553074,0.139,41583011.2847493,0.061397044637225395,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
CPTS11,FII CAPI SEC,CI,317828140,1.911,41583011.2847493,7.643220877478021,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
CLIN11,FII CLAVE IN,CI,4346763,0.301,41583011.2847493,0.10453218431523714,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
HGCR11,FII CSHG CRI,CI  ER,15418106,1.152,41583011.2847493,0.37077896774769264,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
HGFF11,FII CSHG FOF,CI  ER,2863597,0.175,41583011.2847493,0.06886458944473396,2024-06-07,2024-06-07,CARTEIRA_TEORICA_B3_IFIX
