ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
CACR11,CARTESIA FII,CI  ER,3823767,0.309,OTHERS,OTHERS,OTHERS,37893243.59344944,0.10090893883417808,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
AFHI11,FII AFHI CRI,CI,3343095,0.267,OTHERS,OTHERS,OTHERS,37893243.59344944,0.08822403898350673,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
ALZR11,FII ALIANZA,CI,9860406,0.935,OTHERS,OTHERS,OTHERS,37893243.59344944,0.2602154121666311,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
RZAT11,FII ARCTIUM,CI,3708168,0.28,OTHERS,OTHERS,OTHERS,37893243.59344944,0.09785828945614532,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
ARRI11,FII ATRIO,CI  ER,13056237,0.093,OTHERS,OTHERS,OTHERS,37893243.59344944,0.3445531646770142,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
AIEC11,FII AUTONOMY,CI  ER,4824987,0.213,OTHERS,OTHERS,OTHERS,37893243.59344944,0.12733106333589478,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BARI11,FII BARIGUI,CI  ER,4634191,0.309,OTHERS,OTHERS,OTHERS,37893243.59344944,0.12229597048274607,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BCFF11,FII BC FFII,CI  ER,201491024,1.474,OTHERS,OTHERS,OTHERS,37893243.59344944,5.317333774901009,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BRCR11,FII BC FUND,CI  ER,26638202,1.274,OTHERS,OTHERS,OTHERS,37893243.59344944,0.7029802538361987,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BCIA11,FII BCIA,CI  ER,3719038,0.311,OTHERS,OTHERS,OTHERS,37893243.59344944,0.09814514798207735,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BCRI11,FII BEES CRI,CI  ER,6257873,0.375,OTHERS,OTHERS,OTHERS,37893243.59344944,0.16514482283806897,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BLMR11,FII BLUE FOF,CI,25541630,0.136,OTHERS,OTHERS,OTHERS,37893243.59344944,0.674041796844632,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BLMG11,FII BLUE LOG,CI  ER,3810588,0.125,OTHERS,OTHERS,OTHERS,37893243.59344944,0.10056114596267318,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
BRCO11,FII BRESCO,CI  ER,14778781,1.46,OTHERS,OTHERS,OTHERS,37893243.59344944,0.3900109781722351,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_IFIX
