ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
CACR11,CARTESIA FII,CI,1807434,0.171,37963634.80799963,0.04760961401986568,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BPFF11,FII ABSOLUTO,CI,4492326,0.264,37963634.80799963,0.11833234680293006,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
AFHI11,FII AFHI CRI,CI,3019453,0.261,37963634.80799963,0.07953540316333846,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
ALZR11,FII ALIANZA,CI,7311700,0.758,37963634.80799963,0.19259746957789434,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
ARCT11,FII ARCTIUM,CI,3708168,0.3,37963634.80799963,0.09767684308296584,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
ARRI11,FII ATRIO,CI,12228577,0.104,37963634.80799963,0.3221129131034422,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
AIEC11,FII AUTONOMY,CI,4824987,0.301,37963634.80799963,0.127094969288433,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BARI11,FII BARIGUI,CI,4634191,0.368,37963634.80799963,0.12206921237751163,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BBPO11,FII BB PRGII,CI,15919690,1.235,37963634.80799963,0.41934051047834414,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BCFF11,FII BC FFII,CI,25186378,1.508,37963634.80799963,0.6634343135840294,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BRCR11,FII BC FUND,CI,26638202,1.447,37963634.80799963,0.7016768055725486,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BCIA11,FII BCIA,CI,3719038,0.286,37963634.80799963,0.09796316972305114,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BCRI11,FII BEES CRI,CI,6257873,0.551,37963634.80799963,0.16483861547107054,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BLMR11,FII BLUE FOF,CI,25541630,0.161,37963634.80799963,0.6727920055383609,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BLMG11,FII BLUE LOG,CI  ES,3810588,0.261,37963634.80799963,0.1003746880211017,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
IBCR11,FII BREI,CI,958423,0.075,37963634.80799963,0.02524581760537963,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BRCO11,FII BRESCO,CI,14778781,1.325,37963634.80799963,0.38928782964917363,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTAL11,FII BTG AGRO,CI  ER,5982736,0.523,37963634.80799963,0.15759123251125912,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTCI11,FII BTG CRI,CI,11057908,0.809,37963634.80799963,0.2912763241961725,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTRA11,FII BTG TAGR,CI  ER,3364559,0.259,37963634.80799963,0.08862583935959224,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTLG11,FII BTLG,CI,21066892,1.907,37963634.80799963,0.554922944195028,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
CPFF11,FII CAP REIT,CI,5449778,0.327,37963634.80799963,0.14355258729998194,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
CPTS11,FII CAPI SEC,CI,31782814,2.388,37963634.80799963,0.8371910161063603,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGCR11,FII CSHG CRI,CI,15418106,1.459,37963634.80799963,0.40612828771472437,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGFF11,FII CSHG FOF,CI,2863597,0.189,37963634.80799963,0.07543000069626071,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGLG11,FII CSHG LOG,CI,23456675,3.519,37963634.80799963,0.6178722116212447,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGRU11,FII CSHG URB,CI,18406458,2.017,37963634.80799963,0.4848444595226541,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
CARE11,FII DEA CARE,CI,35769919,0.09,37963634.80799963,0.9422153379386797,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
DEVA11,FII DEVANT,CI,14044908,1.122,37963634.80799963,0.36995688297582296,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
VRTA11,FII FATOR VE,CI,15592424,1.263,37963634.80799963,0.4107199976729939,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
GTWR11,FII G TOWERS,CI,12000000,0.858,37963634.80799963,0.31609196697549574,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
GGRC11,FII GGRCOVEP,CI,8765434,0.931,37963634.80799963,0.2308902728711573,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
GALG11,FII GUARDIAN,CI,57485300,0.489,37963634.80799963,1.5142201290980386,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HABT11,FII HABIT II,CI,8126783,0.672,37963634.80799963,0.21406756863775167,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HCTR11,FII HECTARE,CI,22084202,2.03,37963634.80799963,0.581719904105348,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGBS11,FII HEDGEBS,CI,10000000,1.705,37963634.80799963,0.26340997247957976,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGRE11,FII HG REAL,CI,11817767,1.367,37963634.80799963,0.3112917680240086,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HSAF11,FII HSI CRI,CI,2526360,0.182,37963634.80799963,0.06654684180735111,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HSLG11,FII HSI LOG,CI,12660067,1.024,37963634.80799963,0.3334787900059636,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HSML11,FII HSI MALL,CI,15780613,1.178,37963634.80799963,0.4156770836040899,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HFOF11,FII HTOPFOF3,CI,23012000,1.448,37963634.80799963,0.6061590286700089,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
IRDM11,FII IRIDIUM,CI,36433827,3.079,37963634.80799963,0.9597033367395771,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
JSRE11,FII JS REAL,CI,20767328,1.366,37963634.80799963,0.5470321296954407,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KISU11,FII KILIMA,CI,44196050,0.332,37963634.80799963,1.164168031420613,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KNRI11,FII KINEA,CI,24157121,3.129,37963634.80799963,0.6363226577795879,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KNHY11,FII KINEA HY,CI,18490843,1.676,37963634.80799963,0.487067244575423,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KNIP11,FII KINEA IP,CI,80078186,6.768,37963634.80799963,2.109339277047467,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KNCR11,FII KINEA RI,CI,57097087,5.16,37963634.80799963,1.5039942115334173,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KNSC11,FII KINEA SC,CI,13275794,1.054,37963634.80799963,0.349697653218457,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
KFOF11,FII KINEAFOF,CI,4533315,0.324,37963634.80799963,0.11941203793912662,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
LGCP11,FII LGCP INT,CI,2732860,0.205,37963634.80799963,0.07198625773905444,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
NSLU11,FII LOURDES,CI,1293286,0.197,37963634.80799963,0.03406644296682258,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
MALL11,FII MALLS BP,CI,9124659,0.86,37963634.80799963,0.240352617607555,OTHERS,2023-01-14,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
