ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
CACR11,CARTESIA FII,CI  ER,3823767,0.322,OTHERS,OTHERS,OTHERS,37841615.71525045,0.10104661039774245,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
AFHI11,FII AFHI CRI,CI,3343095,0.265,OTHERS,OTHERS,OTHERS,37841615.71525045,0.0883444043498573,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
ALZR11,FII ALIANZA,CI,9860406,0.938,OTHERS,OTHERS,OTHERS,37841615.71525045,0.2605704279171723,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
RZAT11,FII ARCTIUM,CI,3708168,0.269,OTHERS,OTHERS,OTHERS,37841615.71525045,0.0979917989734667,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
ARRI11,FII ATRIO,CI  ER,13056237,0.097,OTHERS,OTHERS,OTHERS,37841615.71525045,0.34502324367556647,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
AIEC11,FII AUTONOMY,CI  ER,4824987,0.222,OTHERS,OTHERS,OTHERS,37841615.71525045,0.127504782996237,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BARI11,FII BARIGUI,CI  ER,4634191,0.305,OTHERS,OTHERS,OTHERS,37841615.71525045,0.12246282069114685,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BCFF11,FII BC FFII,CI  EB,201491024,1.517,OTHERS,OTHERS,OTHERS,37841615.71525045,5.324588292322773,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BRCR11,FII BC FUND,CI,26638202,1.326,OTHERS,OTHERS,OTHERS,37841615.71525045,0.7039393402344766,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BCIA11,FII BCIA,CI  ER,3719038,0.307,OTHERS,OTHERS,OTHERS,37841615.71525045,0.09827904886474498,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BCRI11,FII BEES CRI,CI  ER,6257873,0.358,OTHERS,OTHERS,OTHERS,37841615.71525045,0.16537013237196507,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BLMR11,FII BLUE FOF,CI,25541630,0.141,OTHERS,OTHERS,OTHERS,37841615.71525045,0.6749614020763531,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BLMG11,FII BLUE LOG,CI,3810588,0.16,OTHERS,OTHERS,OTHERS,37841615.71525045,0.10069834302725889,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BRCO11,FII BRESCO,CI  ER,14778781,1.445,OTHERS,OTHERS,OTHERS,37841615.71525045,0.3905430759407042,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BROF11,FII BROF,CI,11610812,0.618,OTHERS,OTHERS,OTHERS,37841615.71525045,0.3068265395264494,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTAL11,FII BTG AGRO,CI  ER,5982736,0.363,OTHERS,OTHERS,OTHERS,37841615.71525045,0.1580993804550717,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTCI11,FII BTG CRI,CI,99521172,0.805,OTHERS,OTHERS,OTHERS,37841615.71525045,2.6299398194007937,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTRA11,FII BTG TAGR,CI  ER,3364559,0.168,OTHERS,OTHERS,OTHERS,37841615.71525045,0.08891161057491681,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
BTLG11,FII BTLG,CI,28492634,2.388,OTHERS,OTHERS,OTHERS,37841615.71525045,0.7529444359458801,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
CPFF11,FII CAP REIT,CI,2553074,0.157,OTHERS,OTHERS,OTHERS,37841615.71525045,0.06746736236664157,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
CPTS11,FII CAPI SEC,CI,317828140,2.089,OTHERS,OTHERS,OTHERS,37841615.71525045,8.39890512053144,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGCR11,FII CSHG CRI,CI  ER,15418106,1.32,OTHERS,OTHERS,OTHERS,37841615.71525045,0.4074378355305371,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGFF11,FII CSHG FOF,CI  ER,2863597,0.198,OTHERS,OTHERS,OTHERS,37841615.71525045,0.07567322234726752,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGLG11,FII CSHG LOG,CI  ER,33787575,4.506,OTHERS,OTHERS,OTHERS,37841615.71525045,0.8928681918405339,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
HGRU11,FII CSHG URB,CI  ER,18406458,2.047,OTHERS,OTHERS,OTHERS,37841615.71525045,0.4864078251442647,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
CYCR11,FII CYRELA,CI  ER,16315840,0.125,OTHERS,OTHERS,OTHERS,37841615.71525045,0.4311612940307038,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
DEVA11,FII DEVANT,CI,14044908,0.503,OTHERS,OTHERS,OTHERS,37841615.71525045,0.3711497972413424,JAN/2024 ATE ABR/2024 - 20231201,2023-12-17,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFIX
