ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AFHI11,FII AFHI CRI,CI,4555618,0.314,42461484.5060641,0.10728824140261495,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
AIEC11,FII AUTONOMY,CI  ER,4824987,0.165,42461484.5060641,0.11363208460860391,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
AJFI11,FII AJ MALLS,CI,31625978,0.174,42461484.5060641,0.7448156457055419,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ALZR11,FII ALIANZA,CI,12226625,0.929,42461484.5060641,0.2879462445137514,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ARRI11,FII ATRIO,CI  ER,19646886,0.117,42461484.5060641,0.4626989901211331,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BARI11,FII BARI VBI,CI  ER,4634191,0.235,42461484.5060641,0.10913869484092512,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BBIG11,FII BBIG,CI  ER,99120994,0.629,42461484.5060641,2.334374201774413,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BCIA11,FII BCIA,CI  ER,3719038,0.23,42461484.5060641,0.08758615114996436,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BCRI11,FII BEES CRI,CI  ER,6257873,0.275,42461484.5060641,0.14737763111193833,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BLMG11,FII BLUE LOG,CI  EA,4268807,0.087,42461484.5060641,0.10053362593553115,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BPFF11,FII ABSOLUTO,CI  ER,4492326,0.189,42461484.5060641,0.10579766704478813,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BPML11,FII BTG SHOP,CI,7441745,0.407,42461484.5060641,0.17525871001842183,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BRCO11,FII BRESCO,CI  ER,15905133,1.196,42461484.5060641,0.3745778835812611,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BRCR11,FII BC FUND,CI,26638202,0.821,42461484.5060641,0.6273497573123165,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BROF11,FII BROF,CI,11610812,0.385,42461484.5060641,0.2734433836937993,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BTAL11,FII BTG AGRO,CI  ER,5982736,0.308,42461484.5060641,0.14089794715362766,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BTCI11,FII BTG CRI,CI,99521172,0.666,42461484.5060641,2.343798695634086,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BTLG11,FII BTLG,CI,43249151,3.094,42461484.5060641,1.0185501402764994,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BTRA11,FII BTG TAGR,CI  ER,3364559,0.106,42461484.5060641,0.07923790322308429,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CACR11,CARTESIA FII,CI  ER,4836324,0.304,42461484.5060641,0.1138990795130892,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CCME11,FII CANUMA,CI,67797053,0.436,42461484.5060641,1.5966717553249374,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CLIN11,FII CLAVE IN,CI,4346763,0.279,42461484.5060641,0.1023695485582757,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CPSH11,FII CPSH,CI,79699818,0.571,42461484.5060641,1.8769908524657855,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CPTS11,FII CAPI SEC,CI,317828140,1.628,42461484.5060641,7.485092518482476,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CVBI11,FII CVBI VBI,CI,11010228,0.7,42461484.5060641,0.2592991773150932,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
CYCR11,FII CYRELA,CI  ER,36549445,0.222,42461484.5060641,0.8607670086235497,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
DEVA11,FII DEVANT,CI,14044908,0.321,42461484.5060641,0.3307681811735571,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
FATN11,FII ATHENA I,CI,3432267,0.207,42461484.5060641,0.08083247771306308,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
GARE11,FII GUARDIAN,CI  ER,175866045,1.112,42461484.5060641,4.14177806183116,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
GGRC11,FII GGRCOVEP,CI  ER,122285100,0.896,42461484.5060641,2.879906376861034,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
GTWR11,FII G TOWERS,CI  ER,12000000,0.637,42461484.5060641,0.2826090547608205,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
GZIT11,FII GAZIT,CI  ER,21841231,0.702,42461484.5060641,0.5143774706435608,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HABT11,FII HABIT II,CI  ER,8126783,0.464,42461484.5060641,0.19139187182302542,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HCTR11,FII HECTARE,CI,22084202,0.321,42461484.5060641,0.520099621030585,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HFOF11,FII HTOPFOF3,CI  ER,23044389,0.994,42461484.5060641,0.5427127494025541,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGBS11,FII HEDGEBS,CI  ER,12729800,1.784,42461484.5060641,0.299796395441191,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGCR11,FII HGCR PAX,CI  ER,15418106,1.086,42461484.5060641,0.36310803023851124,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGFF11,FII HGFF PAX,CI  ER,2863597,0.149,42461484.5060641,0.06743987011549343,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGLG11,FII HGLG PAX,CI  ER,33787575,3.932,42461484.5060641,0.7957228861175274,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGPO11,FII HGPO PAX,CI,1753057,0.167,42461484.5060641,0.0412858151426533,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGRE11,FII HGRE PAX,CI  ER,11817767,0.904,42461484.5060641,0.2783173301044681,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HGRU11,FII HGRU PAX,CI  ER,23238024,2.043,42461484.5060641,0.5472729997624384,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HSAF11,FII HSI CRI,CI  ER,2526360,0.139,42461484.5060641,0.05949768429879553,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HSLG11,FII HSI LOG,CI  ER,12660067,0.736,42461484.5060641,0.29815413067322133,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HSML11,FII HSI MALL,CI  ER,20808572,1.112,42461484.5060641,0.490057571986873,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
HTMX11,FII HOTEL MX,CI  ER,3226809,0.384,42461484.5060641,0.0759937867819757,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ICRI11,FII CI IPCA,CI  ER,3857359,0.248,42461484.5060641,0.09084371507192865,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
IRDM11,FII IRIDIUM,CI,36433827,1.754,42461484.5060641,0.8580441174824383,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ITRI11,FII ITRI,CI  ER,6250000,0.331,42461484.5060641,0.14719221602126067,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
JSAF11,FII JS A FIN,CI  ER,77523290,0.421,42461484.5060641,1.825731975737414,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
JSRE11,FII JS REAL,CI  ER,20767328,0.884,42461484.5060641,0.48908624466566003,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KCRE11,FII KINEA CR,CI  ER,36000000,0.231,42461484.5060641,0.8478271642824614,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KFOF11,FII KINEAFOF,CI  ER,7014565,0.371,42461484.5060641,0.16519829868402788,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KISU11,FII KILIMA,CI  ER,44196050,0.225,42461484.5060641,1.04085032622183,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KIVO11,FII KIVO,CI  ER,2222736,0.102,42461484.5060641,0.052347109995237256,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNCR11,FII KINEA RI,CI  ER,89151090,6.997,42461484.5060641,2.0995754396497364,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNHF11,FII KINEA HF,CI  ER,19663235,1.218,42461484.5060641,0.46308402140749017,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNHY11,FII KINEA HY,CI  ER,28169507,2.127,42461484.5060641,0.6634131455290263,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNIP11,FII KINEA IP,CI  ER,80078186,5.434,42461484.5060641,1.8859017043684307,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNRI11,FII KINEA,CI  ER,28204047,2.899,42461484.5060641,0.6642265885916462,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNSC11,FII KINEA SC,CI  ER,202202385,1.306,42461484.5060641,4.762018741269459,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KNUQ11,FII KINEA UN,CI  ER,15312517,1.188,42461484.5060641,0.3606213296149162,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
KORE11,FII KORE,CI  ER,9625000,0.583,42461484.5060641,0.22667601267274143,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
LIFE11,FII LIFE,CI  ER,34368608,0.219,42461484.5060641,0.8094066516937644,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
LVBI11,FII LVBI VBI,CI  ER,16118565,1.178,42461484.5060641,0.37960436822923704,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
MALL11,FII MALLS BP,CI  ER,12972967,0.942,42461484.5060641,0.3055231617761097,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
MANA11,FII MANATI,CI  ER,37536140,0.227,42461484.5060641,0.8840044203974853,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
MCCI11,FII MAUA,CI,16960024,1.025,42461484.5060641,0.39942136261340244,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
MCRE11,FII MAUA RE,CI,111598921,0.66,42461484.5060641,2.6282387980114565,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
MFII11,FII MERITO I,CI  ER,5212395,0.357,42461484.5060641,0.12275583533250224,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
MXRF11,FII MAXI REN,CI  ER,437325297,3.077,42461484.5060641,10.299340734013757,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
OUJP11,FII OURI JPP,CI  ER,3252384,0.18,42461484.5060641,0.07659609732993469,JAN/2025 ATE ABR/2025,2025-04-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
