ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AFHI11,FII AFHI CRI,CI,3019453,0.27,OTHERS,OTHERS,OTHERS,37791434.84547522,0.0798978131512125,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
AIEC11,FII AUTONOMY,CI  ER,4824987,0.342,OTHERS,OTHERS,OTHERS,37791434.84547522,0.12767408857929874,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ALZR11,FII ALIANZA,CI,8310805,0.882,OTHERS,OTHERS,OTHERS,37791434.84547522,0.21991239639304289,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ARCT11,FII ARCTIUM,CI,3708168,0.337,OTHERS,OTHERS,OTHERS,37791434.84547522,0.09812191612100116,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
ARRI11,FII ATRIO,CI  ER,11782610,0.097,OTHERS,OTHERS,OTHERS,37791434.84547522,0.3117799059013695,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BARI11,FII BARIGUI,CI  ER,4634191,0.404,OTHERS,OTHERS,OTHERS,37791434.84547522,0.12262543136953301,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BBPO11,FII BB PRGII,CI  ER,15919690,1.261,OTHERS,OTHERS,OTHERS,37791434.84547522,0.4212512720168938,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BCFF11,FII BC FFII,CI,25186378,1.633,OTHERS,OTHERS,OTHERS,37791434.84547522,0.6664573097841924,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BCIA11,FII BCIA,CI  ER,3719038,0.299,OTHERS,OTHERS,OTHERS,37791434.84547522,0.09840954743334604,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BCRI11,FII BEES CRI,CI  ER,6257873,0.573,OTHERS,OTHERS,OTHERS,37791434.84547522,0.16558971697125857,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BLMG11,FII BLUE LOG,CI,3810588,0.288,OTHERS,OTHERS,OTHERS,37791434.84547522,0.10083205402443837,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
BLMR11,FII BLUE FOF,CI,25541630,0.18,OTHERS,OTHERS,OTHERS,37791434.84547522,0.6758576408764778,SET/2022 ATE DEZ/2022,2023-01-01,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFIX
