ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,73885763,0.395,29872081.04197376,2.473405280876879,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
B3SA3,B3,ON      NM,5511401013,14.964,29872081.04197376,184.50006898601535,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BPAN4,BANCO PAN,PN      N1,304355780,0.661,29872081.04197376,10.1886366595064,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BRSR6,BANRISUL,PNB     N1,202536440,0.583,29872081.04197376,6.780124883680273,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BBSE3,BBSEGURIDADE,ON      NM,637332335,5.584,29872081.04197376,21.335384505166335,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BBDC3,BRADESCO,ON      N1,1258154771,4.098,29872081.04197376,42.11808240718636,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BBDC4,BRADESCO,PN      N1,4347995922,15.974,29872081.04197376,145.55383389227416,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BBAS3,BRASIL,ON      NM,2842613858,19.135,29872081.04197376,95.15955229251675,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
BPAC11,BTGP BANCO,UNT     N2,1287247964,10.702,29872081.04197376,43.09200829333807,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
CXSE3,CAIXA SEGURI,ON      NM,517500000,1.905,29872081.04197376,17.32386837304211,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
CLSA3,CLEARSALE,ON      NM,55609742,0.136,29872081.04197376,1.8615958466991913,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.907,29872081.04197376,2.739623091039681,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
ITUB3,ITAUUNIBANCO,ON  EJ  N1,180193373,1.39,29872081.04197376,6.0321667160318455,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
ITUB4,ITAUUNIBANCO,PN  EJ  N1,2144717982,19.194,29872081.04197376,71.79673819799903,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
PSSA3,PORTO SEGURO,ON      NM,182560698,1.781,29872081.04197376,6.111415463270903,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
SANB11,SANTANDER BR,UNT,356586730,2.48,29872081.04197376,11.937123814673441,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
WIZC3,WIZ CO,ON      NM,75354432,0.111,29872081.04197376,2.5225705532238694,2024-11-01,2024-11-01,CARTEIRA_TEORICA_B3_IFNC
