ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,73885763,0.411,financeiro,intermediarios_financeiros,bancos,30002491.22687901,2.46265426564999,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
B3SA3,B3,ON      NM,5511401013,15.706,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,30002491.22687901,183.69811264413858,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BPAN4,BANCO PAN,PN      N1,304355780,0.762,financeiro,intermediarios_financeiros,bancos,30002491.22687901,10.14435027073118,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BRSR6,BANRISUL,PNB EJ  N1,202536440,0.584,financeiro,intermediarios_financeiros,bancos,30002491.22687901,6.750654086302976,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BBSE3,BBSEGURIDADE,ON      NM,637332335,5.481,financeiro,previdencia_e_seguros,seguradoras,30002491.22687901,21.242647158213938,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BBDC3,BRADESCO,ON      N1,1258154771,4.095,financeiro,intermediarios_financeiros,bancos,30002491.22687901,41.93501004586007,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BBDC4,BRADESCO,PN      N1,4347995922,15.755,financeiro,intermediarios_financeiros,bancos,30002491.22687901,144.9211630167785,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BBAS3,BRASIL,ON  EJ  NM,2842613858,19.204,financeiro,intermediarios_financeiros,bancos,30002491.22687901,94.7459274799595,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
BPAC11,BTGP BANCO,UNT     N2,1287247964,10.54,OTHERS,OTHERS,OTHERS,30002491.22687901,42.90470262171976,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
CXSE3,CAIXA SEGURI,ON      NM,517500000,1.843,financeiro,previdencia_e_seguros,seguradoras,30002491.22687901,17.248567663487076,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
CLSA3,CLEARSALE,ON      NM,55609742,0.108,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,30002491.22687901,1.8535041500213703,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.909,financeiro,previdencia_e_seguros,resseguradoras,30002491.22687901,2.727714921442314,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
ITUB3,ITAUUNIBANCO,ON  EJ  N1,180193373,1.384,financeiro,intermediarios_financeiros,bancos,30002491.22687901,6.005947027444377,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
ITUB4,ITAUUNIBANCO,PN  EJ  N1,2144717982,18.93,financeiro,intermediarios_financeiros,bancos,30002491.22687901,71.48466324951586,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
PSSA3,PORTO SEGURO,ON      NM,182560698,1.595,financeiro,previdencia_e_seguros,seguradoras,30002491.22687901,6.084851308495516,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
SANB11,SANTANDER BR,UNT,356586730,2.587,financeiro,intermediarios_financeiros,bancos,30002491.22687901,11.885237372573133,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
WIZC3,WIZ CO,ON      NM,75354432,0.106,OTHERS,OTHERS,OTHERS,30002491.22687901,2.5116058340012284,2024-09-23,2024-09-21,CARTEIRA_TEORICA_B3_IFNC
