ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,68627529,0.26,financeiro,intermediarios_financeiros,bancos,41983219.11356659,1.634641898572839,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
B3SA3,B3,ON      NM,5733398051,15.56,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,41983219.11356659,136.5640408728756,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BPAN4,BANCO PAN,PN      N1,341549703,0.424,financeiro,intermediarios_financeiros,bancos,41983219.11356659,8.135386237917867,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BRSR6,BANRISUL,PNB     N1,202535840,0.478,financeiro,intermediarios_financeiros,bancos,41983219.11356659,4.824209393094202,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BBSE3,BBSEGURIDADE,ON      NM,671682536,5.315,financeiro,previdencia_e_seguros,seguradoras,41983219.11356659,15.998833585939824,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BOAS3,BOA VISTA,ON      NM,530871322,0.922,OTHERS,OTHERS,OTHERS,41983219.11356659,12.644845564699743,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BBDC3,BRADESCO,ON      N1,1477736214,4.154,financeiro,intermediarios_financeiros,bancos,41983219.11356659,35.19825885677451,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BBDC4,BRADESCO,PN      N1,5068088749,15.846,financeiro,intermediarios_financeiros,bancos,41983219.11356659,120.7170116062463,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BBAS3,BRASIL,ON      NM,1420731069,13.989,financeiro,intermediarios_financeiros,bancos,41983219.11356659,33.840450994404584,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
BPAC11,BTGP BANCO,UNT     N2,1225470424,6.377,OTHERS,OTHERS,OTHERS,41983219.11356659,29.189529766286967,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
CXSE3,CAIXA SEGURI,ON      NM,517500000,1.157,OTHERS,OTHERS,OTHERS,41983219.11356659,12.326353503292305,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
CIEL3,CIELO,ON      NM,1095401258,1.262,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,41983219.11356659,26.09140702233642,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
CLSA3,CLEARSALE,ON      NM,52773048,0.071,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,41983219.11356659,1.2570033721627303,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
IRBR3,IRBBRASIL RE,ON      NM,81445253,0.449,financeiro,previdencia_e_seguros,resseguradoras,41983219.11356659,1.9399477867499093,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
ITSA4,ITAUSA,PN      N1,5233076295,10.287,financeiro,intermediarios_financeiros,bancos,41983219.11356659,124.64685666061673,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
ITUB3,ITAUUNIBANCO,ON      N1,254212005,1.268,financeiro,intermediarios_financeiros,bancos,41983219.11356659,6.05508606456176,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
ITUB4,ITAUUNIBANCO,PN      N1,3176478616,18.732,financeiro,intermediarios_financeiros,bancos,41983219.11356659,75.66067307529408,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
MODL3,MODALMAIS,ON      NM,291313231,0.123,OTHERS,OTHERS,OTHERS,41983219.11356659,6.938801672448793,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
PSSA3,PORTO SEGURO,ON      NM,179759767,0.986,financeiro,previdencia_e_seguros,seguradoras,41983219.11356659,4.281705185915862,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
SANB11,SANTANDER BR,UNT,355642848,2.241,financeiro,intermediarios_financeiros,bancos,41983219.11356659,8.471071430658265,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
WIZC3,WIZ CO,ON      NM,75275228,0.101,OTHERS,OTHERS,OTHERS,41983219.11356659,1.79298371085783,MAI/2023 ATE AGO/2023 - 20230417,2023-04-23,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IFNC
