ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,72245617,0.4,31885239.0202337,2.2658013306456466,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
B3SA3,B3,ON      NM,5602790110,15.568,31885239.0202337,175.71736270957817,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBAS3,BRASIL,ON      NM,2842247534,19.567,31885239.0202337,89.13991619119963,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBDC3,BRADESCO,ON  EJ  N1,1317184231,4.013,31885239.0202337,41.3101570342359,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBDC4,BRADESCO,PN  EJ  N1,4542363206,15.27,31885239.0202337,142.4597508307061,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBSE3,BBSEGURIDADE,ON      NM,671750768,5.382,31885239.0202337,21.067766422378742,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BPAC11,BTGP BANCO,UNT     N2,1150645866,9.914,31885239.0202337,36.08710178618465,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BPAN4,BANCO PAN,PN      N1,327696379,0.751,31885239.0202337,10.2773693743381,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BRSR6,BANRISUL,PNB ED  N1,202536440,0.621,31885239.0202337,6.352043962144196,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
CIEL3,CIELO,ON      NM,1095462329,1.494,31885239.0202337,34.35640950675774,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
CLSA3,CLEARSALE,ON      NM,55609742,0.109,31885239.0202337,1.7440591229286766,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
CXSE3,CAIXA SEGURI,ON  EDR NM,517500000,2.075,31885239.0202337,16.230080623563946,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
IRBR3,IRBBRASIL RE,ON      NM,81838843,0.888,31885239.0202337,2.566668637737569,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
ITUB3,ITAUUNIBANCO,ON  EJ  N1,190827953,1.303,31885239.0202337,5.984836835593568,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
ITUB4,ITAUUNIBANCO,PN  EJ  N1,2381972600,18.711,31885239.0202337,74.70455524854151,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
PSSA3,PORTO SEGURO,ON      NM,181531496,1.326,31885239.0202337,5.693276938736572,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
SANB11,SANTANDER BR,UNT,342918449,2.476,31885239.0202337,10.754771158603868,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
WIZC3,WIZ CO,ON  EDJ NM,75273443,0.133,31885239.0202337,2.3607614467695557,MAI/2024 ATE AGO/2024,2024-07-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
