ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN  EJ  N2,72905159,0.394,financeiro,intermediarios_financeiros,bancos,30197293.55028988,2.4142944757147,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
B3SA3,B3,ON  EJ  NM,5392540963,15.515,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,30197293.55028988,178.5769626678426,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBAS3,BRASIL,ON      NM,2842613858,19.224,financeiro,intermediarios_financeiros,bancos,30197293.55028988,94.13472281103523,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBDC3,BRADESCO,ON  EJ  N1,1444731446,4.247,financeiro,intermediarios_financeiros,bancos,30197293.55028988,47.843077181535406,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBDC4,BRADESCO,PN  EJ  N1,4992777186,15.929,financeiro,intermediarios_financeiros,bancos,30197293.55028988,165.33856511627917,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BBSE3,BBSEGURIDADE,ON      NM,637332335,6.534,financeiro,previdencia_e_seguros,seguradoras,30197293.55028988,21.105611134938346,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BPAC11,BTGP BANCO,UNT EX  N2,1287247964,9.752,OTHERS,OTHERS,OTHERS,30197293.55028988,42.627924977986744,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BPAN4,BANCO PAN,PN  EJ  N1,285723480,0.503,financeiro,intermediarios_financeiros,bancos,30197293.55028988,9.461890335442236,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BRBI11,BR PARTNERS,UNT     N2,47238057,0.171,financeiro,intermediarios_financeiros,bancos,30197293.55028988,1.564314262843815,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
BRSR6,BANRISUL,PNB EJ  N1,202536440,0.552,financeiro,intermediarios_financeiros,bancos,30197293.55028988,6.707105710076317,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
CLSA3,CLEARSALE,ON      NM,55609742,0.155,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,30197293.55028988,1.8415472203622756,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
CXSE3,CAIXA SEGURI,ON      NM,517500000,2.064,financeiro,previdencia_e_seguros,seguradoras,30197293.55028988,17.13729739183968,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.98,financeiro,previdencia_e_seguros,resseguradoras,30197293.55028988,2.710118470177086,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
ITUB3,ITAUUNIBANCO,ON  EJ  N1,182172307,1.369,financeiro,intermediarios_financeiros,bancos,30197293.55028988,6.032736235007763,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
ITUB4,ITAUUNIBANCO,PN  EJ  N1,2168809021,18.423,financeiro,intermediarios_financeiros,bancos,30197293.55028988,71.8213046936844,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
PSSA3,PORTO SEGURO,ON  EJ  NM,182560698,1.808,financeiro,previdencia_e_seguros,seguradoras,30197293.55028988,6.04559801678808,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
SANB11,SANTANDER BR,UNT,356586730,2.379,financeiro,intermediarios_financeiros,bancos,30197293.55028988,11.808565870519113,JAN/2025 ATE ABR/2025,2025-02-09,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IFNC
