ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
BRAP3,BRADESPAR,ON      N1,30318904,0.428,31186939.13924439,0.9721667094238149,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
BRAP4,BRADESPAR,PN      N1,251025058,3.726,31186939.13924439,8.04904440539085,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
BRKM5,BRASKEM,PNA     N1,265212486,5.117,31186939.13924439,8.503960097394337,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
CBAV3,CBA,ON      NM,191350000,1.357,31186939.13924439,6.135581281178468,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
CMIN3,CSNMINERACAO,ON      N2,1110550596,2.372,31186939.13924439,35.609477128921824,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
DXCO3,DEXCO,ON      NM,274863424,1.663,31186939.13924439,8.813414576300081,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
FHER3,FER HERINGER,ON      NM,15626962,0.14,31186939.13924439,0.5010739248961967,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
FESA4,FERBASA,PN      N1,40495100,1.289,31186939.13924439,1.298463431091979,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
GGBR4,GERDAU,PN      N1,1111956242,17.355,31186939.13924439,35.65454875309514,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
GOAU4,GERDAU MET,PN      N1,686077578,4.667,31186939.13924439,21.998875071926108,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
RANI3,IRANI,ON      NM,98611765,0.531,31186939.13924439,3.161957143652835,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
KLBN11,KLABIN S/A,UNT EDJ N2,701899756,8.972,31186939.13924439,22.506208540252597,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
CSNA3,SID NACIONAL,ON,589695175,4.639,31186939.13924439,18.908401762901807,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
SUZB3,SUZANO S.A.,ON      NM,686155414,21.64,31186939.13924439,22.001370860296117,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
UNIP6,UNIPAR,PNB,49241308,3.273,31186939.13924439,1.5789080095403374,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
USIM3,USIMINAS,ON      N1,161021703,0.747,31186939.13924439,5.163113387981598,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
USIM5,USIMINAS,PNA     N1,515014562,2.391,31186939.13924439,16.513789945866357,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
VALE3,VALE,ON      NM,470840909,19.693,31186939.13924439,15.097374798397986,2022-11-07,2022-11-07,CARTEIRA_TEORICA_B3_IMAT
