ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
BRAP4,BRADESPAR,PN      N1,251016648,4.604,materiais_basicos,mineracao,minerais_metalicos,28211139.9319613,8.897784655472757,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
BRKM5,BRASKEM,PNA     N1,265212486,3.471,materiais_basicos,quimicos,petroquimicos,28211139.9319613,9.400984385587776,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
CBAV3,CBA,ON      NM,191350000,1.365,materiais_basicos,mineracao,minerais_metalicos,28211139.9319613,6.782781570028423,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
CMIN3,CSNMINERACAO,ON      N2,1110550596,3.301,OTHERS,OTHERS,OTHERS,28211139.9319613,39.365676065497155,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
DXCO3,DEXCO,ON      NM,274863424,1.116,OTHERS,OTHERS,OTHERS,28211139.9319613,9.743081090055437,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
FHER3,FER HERINGER,ON      NM,15626962,0.159,materiais_basicos,quimicos,fertilizantes_e_defensivos,28211139.9319613,0.5539287684825425,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
FESA4,FERBASA,PN      N1,40495100,1.311,materiais_basicos,siderurgia_e_metalurgia,siderurgia,28211139.9319613,1.4354294118445674,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
GGBR4,GERDAU,PN      N1,1093112629,20.416,materiais_basicos,siderurgia_e_metalurgia,siderurgia,28211139.9319613,38.747552620572336,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
GOAU4,GERDAU MET,PN      N1,667194478,5.516,materiais_basicos,siderurgia_e_metalurgia,siderurgia,28211139.9319613,23.6500361066273,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
RANI3,IRANI,ON      NM,99993865,0.465,materiais_basicos,embalagens,embalagens,28211139.9319613,3.5444815502373146,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
KLBN11,KLABIN S/A,UNT     N2,701899756,7.962,materiais_basicos,madeira_e_papel,papel_e_celulose,28211139.9319613,24.88023375492159,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
CSNA3,SID NACIONAL,ON,589695175,6.217,OTHERS,OTHERS,OTHERS,28211139.9319613,20.902919074599872,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
SUZB3,SUZANO S.A.,ON      NM,688195018,18.348,materiais_basicos,madeira_e_papel,papel_e_celulose,28211139.9319613,24.39444204168162,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
UNIP6,UNIPAR,PNB,49195098,2.384,materiais_basicos,quimicos,quimicos_diversos,28211139.9319613,1.7438181554750045,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
USIM3,USIMINAS,ON      N1,161021703,0.797,materiais_basicos,siderurgia_e_metalurgia,siderurgia,28211139.9319613,5.707734724238256,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
USIM5,USIMINAS,PNA     N1,515014562,2.513,materiais_basicos,siderurgia_e_metalurgia,siderurgia,28211139.9319613,18.255716119309433,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
VALE3,VALE,ON      NM,366512651,20.055,materiais_basicos,mineracao,minerais_metalicos,28211139.9319613,12.991770339090982,2023-01-31,2023-01-31,CARTEIRA_TEORICA_B3_IMAT
