ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
BRAP4,BRADESPAR,PN      N1,251003438,3.997,25739911.77470458,9.751526741698818,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
BRKM5,BRASKEM,PNA     N1,265877867,3.62,25739911.77470458,10.329400866916977,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
CBAV3,CBA,ON      NM,191350000,0.621,25739911.77470458,7.433980414340256,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
CMIN3,CSNMINERACAO,ON      N2,1110559345,5.292,25739911.77470458,43.145421581878985,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
DXCO3,DEXCO,ON  EJ  NM,302768240,1.543,25739911.77470458,11.762598203523753,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
FESA4,FERBASA,PN  EJ  N1,40495100,1.158,25739911.77470458,1.573241600610139,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
GGBR4,GERDAU,PN      N1,1118525506,16.486,25739911.77470458,43.45490830699778,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
GOAU4,GERDAU MET,PN      N1,660411219,4.458,25739911.77470458,25.65708945626639,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
RANI3,IRANI,ON      NM,102762865,0.692,25739911.77470458,3.9923549816121864,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
KLBN11,KLABIN S/A,UNT EJ  N2,706747385,9.653,25739911.77470458,27.457257475705216,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
CSNA3,SID NACIONAL,ON,600865451,7.265,25739911.77470458,23.343726126928274,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
SUZB3,SUZANO S.A.,ON      NM,579946036,20,25739911.77470458,22.531003255804908,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
UNIP6,UNIPAR,PNB ED,46376908,2.217,25739911.77470458,1.8017508531469033,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
USIM5,USIMINAS,PNA     N1,515117391,2.998,25739911.77470458,20.01239924630286,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
VALE3,VALE,ON      NM,417748762,20,25739911.77470458,16.229611261159597,JAN/2024 ATE ABR/2024 - 20231227,2023-12-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
