ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
BRAP4,BRADESPAR,PN  EJ  N1,250969312,3.104,materiais_basicos,mineracao,minerais_metalicos,24065622.60168268,10.428540169264188,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
BRKM5,BRASKEM,PNA     N1,265388400,2.352,materiais_basicos,quimicos,petroquimicos,24065622.60168268,11.027697242349504,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
CBAV3,CBA,ON      NM,204441277,0.736,materiais_basicos,mineracao,minerais_metalicos,24065622.60168268,8.495158441722815,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
CMIN3,CSNMINERACAO,ON      N2,1646519336,6.204,OTHERS,OTHERS,OTHERS,24065622.60168268,68.41789897780889,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
CSNA3,SID NACIONAL,ON,727459637,4.611,OTHERS,OTHERS,OTHERS,24065622.60168268,30.2281660873854,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
DXCO3,DEXCO,ON  EJ  NM,301760723,1.347,materiais_basicos,madeira_e_papel,madeira,24065622.60168268,12.539078169492308,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
FESA4,FERBASA,PN      N1,160583300,0.94,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24065622.60168268,6.672725765622699,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
GGBR4,GERDAU,PN      N1,1242683687,16.618,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24065622.60168268,51.63729638613675,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
GOAU4,GERDAU MET,PN      N1,649238303,4.887,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24065622.60168268,26.97783114718191,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
KLBN11,KLABIN S/A,UNT     N2,765785673,13.404,materiais_basicos,madeira_e_papel,papel_e_celulose,24065622.60168268,31.820729746940177,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
RANI3,IRANI,ON      NM,106179855,0.53,materiais_basicos,embalagens,embalagens,24065622.60168268,4.412096738879959,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
SUZB3,SUZANO S.A.,ON      NM,431335389,20.874,materiais_basicos,madeira_e_papel,papel_e_celulose,24065622.60168268,17.923300640883514,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
UNIP6,UNIPAR,PNB,50800579,1.765,materiais_basicos,quimicos,quimicos_diversos,24065622.60168268,2.1109189585831865,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
USIM3,USIMINAS,ON      N1,161021803,0.619,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24065622.60168268,6.690946902356113,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
USIM5,USIMINAS,PNA     N1,515193199,1.929,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24065622.60168268,21.407848345630477,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
VALE3,VALE,ON      NM,488504130,20.08,materiais_basicos,mineracao,minerais_metalicos,24065622.60168268,20.298836148367236,JAN/2025 ATE ABR/2025,2025-03-22,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
