ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON      NM,440519769,19.532,OTHERS,OTHERS,OTHERS,47520314.86946949,9.270135734791225,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
CURY3,CURY S/A,ON      NM,133117425,7.877,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,2.8012740522795716,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
CYRE3,CYRELA REALT,ON      NM,257174951,13.25,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,5.411894927599225,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
DIRR3,DIRECIONAL,ON      NM,108541907,8.283,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,2.2841159049165984,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
EVEN3,EVEN,ON      NM,189773600,2.517,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,3.9935257272868863,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
EZTC3,EZTEC,ON      NM,95300871,2.578,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,2.0054764212269185,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
GFSA3,GAFISA,ON      NM,120371187,0.327,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,2.5330469154221706,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
IGTI11,IGUATEMI S.A,UNT     N1,198474750,8.804,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47520314.86946949,4.176629522451136,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
JHSF3,JHSF PART,ON      NM,292921855,2.988,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,6.1641396064947855,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
LAVV3,LAVVI,ON  ED  NM,73950129,1.667,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,1.556179272025635,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
LOGG3,LOG COM PROP,ON      NM,47768612,2.077,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47520314.86946949,1.005225073344159,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
MDNE3,MOURA DUBEUX,ON  ED  NM,51943755,1.933,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,1.0930852445460635,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
MRVE3,MRV,ON      NM,375507695,3.908,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,7.902045599475888,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
MULT3,MULTIPLAN,ON      N2,314311970,16.636,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47520314.86946949,6.614265306603364,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
PLPL3,PLANOEPLANO,ON      NM,54539741,1.59,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,1.147714217589082,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
SYNE3,SYN PROP TEC,ON      NM,59381237,0.732,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47520314.86946949,1.2495968758437421,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
TEND3,TENDA,ON      NM,120609176,5.301,consumo_ciclico,construcao_civil,incorporacoes,47520314.86946949,2.5380550682648804,2025-05-22,2025-05-22,CARTEIRA_TEORICA_B3_IMOB
