ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALSO3,ALIANSCSONAE,ON      NM,122470927,5.543,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,50854841.0960187,2.408245200663658,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
BRML3,BR MALLS PAR,ON      NM,828273884,17.892,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,50854841.0960187,16.287021375922528,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
BRPR3,BR PROPERT,ON      NM,175439087,3.722,OTHERS,OTHERS,OTHERS,50854841.0960187,3.4498011048496755,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
CURY3,CURY S/A,ON      NM,102456054,2.421,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,2.01467651440604,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
CYRE3,CYRELA REALT,ON      NM,274142301,10.661,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,5.390682481583094,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
DIRR3,DIRECIONAL,ON      NM,81741469,2.834,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,1.607348823402367,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
EVEN3,EVEN,ON      NM,198428847,3.16,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,3.9018674077724036,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
EZTC3,EZTEC,ON      NM,94318339,4.489,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,1.8546580220734177,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
GFSA3,GAFISA,ON      NM,323264703,1.046,OTHERS,OTHERS,OTHERS,50854841.0960187,6.356616126076296,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
HBOR3,HELBOR,ON      NM,65595478,0.472,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,1.289857102810519,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
IGTI11,IGUATEMI S.A,UNT     N1,179981368,9.306,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,50854841.0960187,3.539119661394248,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
JHSF3,JHSF PART,ON      NM,299019330,5.008,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,5.879859686031139,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
LAVV3,LAVVI,ON  ED  NM,73835129,1.109,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,1.4518800454138154,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
LOGG3,LOG COM PROP,ON      NM,59529517,3.986,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,50854841.0960187,1.1705771902345088,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
MRVE3,MRV,ON      NM,298436955,8.47,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,5.868407973913891,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
MULT3,MULTIPLAN,ON      N2,268145328,16.791,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,50854841.0960187,5.2727591360224,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
SYNE3,SYN PROP TEC,ON      NM,58932234,0.687,OTHERS,OTHERS,OTHERS,50854841.0960187,1.1588323300181083,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
TEND3,TENDA,ON      NM,95672515,1.511,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,1.881286283430939,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
TRIS3,TRISUL,ON      NM,71349496,0.892,consumo_ciclico,construcao_civil,incorporacoes,50854841.0960187,1.4030030270920613,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-25,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMOB
