ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON      NM,359438649,19.689,47957492.54045416,7.49494249927263,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
CURY3,CURY S/A,ON      NM,120291325,4.465,47957492.54045416,2.5082905428912743,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
CYRE3,CYRELA REALT,ON      NM,265784616,13.205,47957492.54045416,5.542087417848203,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
DIRR3,DIRECIONAL,ON      NM,107596799,4.97,47957492.54045416,2.243586837014833,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
EVEN3,EVEN,ON  ED  NM,190346865,3.22,47957492.54045416,3.9690745891152344,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
EZTC3,EZTEC,ON      NM,91514307,3.531,47957492.54045416,1.9082379447341589,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
GFSA3,GAFISA,ON      NM,61184833,1.315,47957492.54045416,1.2758138459467627,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
IGTI11,IGUATEMI S.A,UNT     N1,217622138,10.947,47957492.54045416,4.537813102226448,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
JHSF3,JHSF PART,ON  ED  NM,299252184,3.439,47957492.54045416,6.2399464222940395,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
LAVV3,LAVVI,ON      NM,73850129,1.342,47957492.54045416,1.5399080537353849,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
LOGG3,LOG COM PROP,ON      NM,60865948,2.863,47957492.54045416,1.2691645199893848,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MRVE3,MRV,ON      NM,376187582,8.716,47957492.54045416,7.84418788540018,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MTRE3,MITRE REALTY,ON      NM,52240379,0.664,47957492.54045416,1.0893058880410198,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MULT3,MULTIPLAN,ON  EJ  N2,268505432,15.744,47957492.54045416,5.598821326479995,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
PLPL3,PLANOEPLANO,ON      NM,54382044,1.311,47957492.54045416,1.133963456369752,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
TEND3,TENDA,ON      NM,121681013,3.723,47957492.54045416,2.537268037884945,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
TRIS3,TRISUL,ON      NM,71441396,0.855,47957492.54045416,1.4896816371234627,JAN/2024 ATE ABR/2024,2024-04-21,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
