ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON      NM,404722553,19.852,OTHERS,OTHERS,OTHERS,49860071.70505864,8.117167488127341,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
CURY3,CURY S/A,ON      NM,133117425,6.819,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,2.669820167677263,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
CYRE3,CYRELA REALT,ON      NM,264710610,12.421,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,5.30906998220669,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
DIRR3,DIRECIONAL,ON      NM,109826474,6.832,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,2.2026938639331592,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
EVEN3,EVEN,ON      NM,194304694,2.653,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,3.8969998910026935,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
EZTC3,EZTEC,ON      NM,97334950,2.949,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.952162254715023,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
GFSA3,GAFISA,ON      NM,89278305,0.505,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.7905771481460206,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
IGTI11,IGUATEMI S.A,UNT     N1,211468849,10.045,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,49860071.70505864,4.241246387508605,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
JHSF3,JHSF PART,ON  ED  NM,292921855,2.753,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,5.8748783341657544,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
LAVV3,LAVVI,ON      NM,73950129,1.32,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.4831532821982938,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
LOGG3,LOG COM PROP,ON      NM,51027761,2.568,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,49860071.70505864,1.0234193264271396,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MDNE3,MOURA DUBEUX,ON      NM,53382259,1.636,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.070641440625606,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MRVE3,MRV,ON      NM,375335828,6.029,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,7.527783558360179,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MTRE3,MITRE REALTY,ON  ED  NM,57185919,0.457,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.1469281339641175,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
MULT3,MULTIPLAN,ON      N2,318010631,17.534,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,49860071.70505864,6.3780620469451845,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
PLPL3,PLANOEPLANO,ON      NM,54711991,1.415,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.0973107163511981,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
TEND3,TENDA,ON      NM,121480372,3.501,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,2.4364259385466345,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
TRIS3,TRISUL,ON      NM,71495901,0.71,consumo_ciclico,construcao_civil,incorporacoes,49860071.70505864,1.433930970314795,SET/2024 ATE DEZ/2024,2025-01-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMOB
