ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALPA4,ALPARGATAS,PN      N1,164391149,0.278,15431305.4980495,10.653094063932496,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
ABEV3,AMBEV S/A,ON,4394835131,12.488,15431305.4980495,284.7999562678286,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
ARML3,ARMAC,ON      NM,171598756,0.234,15431305.4980495,11.120171007027883,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
BRKM5,BRASKEM,PNA     N1,265388400,0.793,15431305.4980495,17.1980523639782,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
BRFS3,BRF SA,ON      NM,814523002,4.881,15431305.4980495,52.7838038138092,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
CURY3,CURY S/A,ON      NM,133117425,0.599,15431305.4980495,8.62645257180774,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
CYRE3,CYRELA REALT,ON      NM,273755006,1.153,15431305.4980495,17.74023630305306,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
DXCO3,DEXCO,ON      NM,301760723,0.445,15431305.4980495,19.555100055412826,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
DIRR3,DIRECIONAL,ON  ED  NM,109826474,0.708,15431305.4980495,7.117121361759182,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
EMBR3,EMBRAER,ON      NM,734631801,10.515,15431305.4980495,47.60658786081687,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
EVEN3,EVEN,ON      NM,189773600,0.265,15431305.4980495,12.2979614410451,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
EZTC3,EZTEC,ON      NM,97334950,0.268,15431305.4980495,6.307628995635077,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
GFSA3,GAFISA,ON      NM,115878978,0.036,15431305.4980495,7.509343782653191,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
GGBR4,GERDAU,PN      N1,1242683687,5.639,15431305.4980495,80.53004246186909,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
GOAU4,GERDAU MET,PN      N1,649238303,1.645,15431305.4980495,42.07280473334308,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
GRND3,GRENDENE,ON      NM,268118086,0.35,15431305.4980495,17.374945109724504,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
NTCO3,GRUPO NATURA,ON      NM,850935197,2.725,15431305.4980495,55.143435343662745,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
INTB3,INTELBRAS,ON      NM,114286318,0.36,15431305.4980495,7.406134109291379,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MYPK3,IOCHP-MAXION,ON      NM,130223270,0.394,15431305.4980495,8.43890168699337,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
RANI3,IRANI,ON      NM,106179855,0.179,15431305.4980495,6.880808303187376,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
JBSS3,JBS,ON      NM,1145962972,10.496,15431305.4980495,74.2622179403323,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
JHSF3,JHSF PART,ON  ED  NM,292921855,0.276,15431305.4980495,18.982311965570574,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
KEPL3,KEPLER WEBER,ON      NM,174021783,0.403,15431305.4980495,11.277191228052361,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
KLBN11,KLABIN S/A,UNT     N2,765785673,4.332,15431305.4980495,49.62546254409872,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MDIA3,M.DIASBRANCO,ON      NM,66385773,0.336,15431305.4980495,4.302019230219445,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
POMO4,MARCOPOLO,PN      N2,666378439,1.251,15431305.4980495,43.18354264221064,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MRFG3,MARFRIG,ON      NM,302019876,1.247,15431305.4980495,19.571894033085858,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
LEVE3,METAL LEVE,ON      NM,52865876,0.354,15431305.4980495,3.425884868048409,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MILS3,MILLS,ON  EJ  NM,170940549,0.37,15431305.4980495,11.07751700085302,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
BEEF3,MINERVA,ON      NM,261359935,0.326,15431305.4980495,16.936994412626696,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MDNE3,MOURA DUBEUX,ON      NM,53382259,0.144,15431305.4980495,3.459348206588708,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MRVE3,MRV,ON      NM,377241484,0.507,15431305.4980495,24.446504804644228,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
MLAS3,MULTILASER,ON      NM,386245397,0.112,15431305.4980495,25.029988360273276,2025-01-07,2025-01-07,CARTEIRA_TEORICA_B3_INDX
