ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AERI3,AERIS,ON      NM,214066952,0.056,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,16773296.31812595,12.762366319652386,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
ALPA4,ALPARGATAS,PN      N1,208965950,0.499,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,16773296.31812595,12.458251856803027,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
ABEV3,AMBEV S/A,ON,4394245879,16.909,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,16773296.31812595,261.9786710767989,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
BRKM5,BRASKEM,PNA     N1,265479055,1.643,materiais_basicos,quimicos,petroquimicos,16773296.31812595,15.827482563049449,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
BRFS3,BRF SA,ON      NM,1677525446,4.563,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,16773296.31812595,100.01167416253139,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
CAML3,CAMIL,ON      NM,97829997,0.231,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,16773296.31812595,5.8324848702685035,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
CURY3,CURY S/A,ON      NM,120291325,0.567,consumo_ciclico,construcao_civil,incorporacoes,16773296.31812595,7.171597205375069,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
CYRE3,CYRELA REALT,ON      NM,265784616,1.654,consumo_ciclico,construcao_civil,incorporacoes,16773296.31812595,15.845699673997986,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
DXCO3,DEXCO,ON      NM,303055637,0.701,OTHERS,OTHERS,OTHERS,16773296.31812595,18.067744780285373,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
DIRR3,DIRECIONAL,ON      NM,107596799,0.583,consumo_ciclico,construcao_civil,incorporacoes,16773296.31812595,6.414767673526773,2023-09-22,2023-09-22,CARTEIRA_TEORICA_B3_INDX
