ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALPA4,ALPARGATAS,PN      N1,153041091,0.291,15120629.65414044,10.121343786638752,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
ABEV3,AMBEV S/A,ON,4394835131,15.499,15120629.65414044,290.6515953055285,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
ARML3,ARMAC,ON      NM,171598756,0.201,15120629.65414044,11.34865147318859,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
BRKM5,BRASKEM,PNA     N1,265388400,0.705,15120629.65414044,17.551411949788044,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
BRFS3,BRF SA,ON      NM,832617717,4.671,15120629.65414044,55.06501620929566,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
CAML3,CAMIL,ON      NM,96218424,0.105,15120629.65414044,6.363387385369416,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
CURY3,CURY S/A,ON      NM,133117425,0.931,15120629.65414044,8.803695880716768,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
CYRE3,CYRELA REALT,ON  ED  NM,257174951,1.574,15120629.65414044,17.008217044028882,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
DXCO3,DEXCO,ON      NM,301760723,0.422,15120629.65414044,19.956888694603382,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
DIRR3,DIRECIONAL,ON      NM,108541907,0.98,15120629.65414044,7.1783986171685825,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
EMBR3,EMBRAER,ON      NM,734631701,12.132,15120629.65414044,48.58472945925488,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
EVEN3,EVEN,ON      NM,189773600,0.275,15120629.65414044,12.550641364861074,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
EZTC3,EZTEC,ON      NM,95300871,0.31,15120629.65414044,6.30270519018393,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GFSA3,GAFISA,ON      NM,120371187,0.04,15120629.65414044,7.960725826456512,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GGBR4,GERDAU,PN      N1,1308152318,4.881,15120629.65414044,86.51440766170688,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GOAU4,GERDAU MET,PN      N1,623866944,1.296,15120629.65414044,41.25932307515833,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GRND3,GRENDENE,ON  EDJ NM,267998367,0.363,15120629.65414044,17.724021626745863,PRÉ/IA - ATE PRÉ/IA - - 20250505,2025-06-29,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
