ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALPA4,ALPARGATAS,PN      N1,166460180,0.322,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,15689631.79236842,10.609565743981817,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
ABEV3,AMBEV S/A,ON,4394835131,13.77,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,15689631.79236842,280.11078839579193,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
ARML3,ARMAC,ON      NM,171598756,0.357,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,15689631.79236842,10.93707986719403,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
BRKM5,BRASKEM,PNA     N1,265388400,1.147,materiais_basicos,quimicos,petroquimicos,15689631.79236842,16.91489026078275,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
BRFS3,BRF SA,ON      NM,814523002,5.12,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,15689631.79236842,51.91473023581034,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
CAML3,CAMIL,ON      NM,94602711,0.216,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,15689631.79236842,6.029632323558774,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
CURY3,CURY S/A,ON      NM,133117425,0.759,consumo_ciclico,construcao_civil,incorporacoes,15689631.79236842,8.484419950807867,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
CYRE3,CYRELA REALT,ON      NM,264710610,1.432,consumo_ciclico,construcao_civil,incorporacoes,15689631.79236842,16.871690394210376,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
DXCO3,DEXCO,ON      NM,301760723,0.586,materiais_basicos,madeira_e_papel,madeira,15689631.79236842,19.233129686751425,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
DIRR3,DIRECIONAL,ON      NM,109826474,0.783,consumo_ciclico,construcao_civil,incorporacoes,15689631.79236842,6.999939543094989,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
EMBR3,EMBRAER,ON      NM,734632601,8.294,bens_industriais,material_de_transporte,material_aeronautico_e_de_defesa,15689631.79236842,46.82280697991472,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
EZTC3,EZTEC,ON      NM,97334950,0.335,consumo_ciclico,construcao_civil,incorporacoes,15689631.79236842,6.203775288553592,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GFSA3,GAFISA,ON      NM,89278305,0.059,consumo_ciclico,construcao_civil,incorporacoes,15689631.79236842,5.690274072806845,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GGBR4,GERDAU,PN      N1,1242683687,5.592,materiais_basicos,siderurgia_e_metalurgia,siderurgia,15689631.79236842,79.20413324195745,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GOAU4,GERDAU MET,PN      N1,661577619,1.696,materiais_basicos,siderurgia_e_metalurgia,siderurgia,15689631.79236842,42.16654844135969,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
GRND3,GRENDENE,ON  ED  NM,268102086,0.395,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,15689631.79236842,17.08785072511436,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
NTCO3,GRUPO NATURA,ON      NM,849350756,2.901,consumo_nao_ciclico,produtos_de_uso_pessoal_e_de_limpeza,produtos_de_uso_pessoal,15689631.79236842,54.134524457937374,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
INTB3,INTELBRAS,ON      NM,114286318,0.622,tecnologia_da_informacao,computadores_e_equipamentos,computadores_e_equipamentos,15689631.79236842,7.284193760084919,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
MYPK3,IOCHP-MAXION,ON      NM,130223270,0.365,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,15689631.79236842,8.299957049555605,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
RANI3,IRANI,ON      NM,106179855,0.206,materiais_basicos,embalagens,embalagens,15689631.79236842,6.767517326419786,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
JBSS3,JBS,ON      NM,1142696472,9.727,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,15689631.79236842,72.8313122399608,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
JHSF3,JHSF PART,ON  ED  NM,292921855,0.31,consumo_ciclico,construcao_civil,incorporacoes,15689631.79236842,18.669772425282783,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
KEPL3,KEPLER WEBER,ON      NM,176208413,0.471,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,15689631.79236842,11.230882619291894,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
KLBN11,KLABIN S/A,UNT     N2,765785673,4.039,materiais_basicos,madeira_e_papel,papel_e_celulose,15689631.79236842,48.808390351931976,PRÉ/IA - ATE PRÉ/IA - - 20240830,2024-11-09,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_INDX
