ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4394245879,17.43,16762089.21324745,262.15382957913926,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
AERI3,AERIS,ON      NM,214066952,0.059,16762089.21324745,12.770899216478227,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
ALPA4,ALPARGATAS,PN      N1,208965950,0.528,16762089.21324745,12.466581423206458,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
BEEF3,MINERVA,ON      NM,261036182,0.639,16762089.21324745,15.573009943992979,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
BRFS3,BRF SA,ON      NM,1677525446,4.351,16762089.21324745,100.07854180099545,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
BRKM5,BRASKEM,PNA     N1,265479055,1.694,16762089.21324745,15.838064791481125,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CAML3,CAMIL,ON      NM,97829997,0.233,16762089.21324745,5.836384459920592,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CSNA3,SID NACIONAL,ON,600865451,2.115,16762089.21324745,35.84669210119242,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CURY3,CURY S/A,ON      NM,120291325,0.566,16762089.21324745,7.176392123299947,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CYRE3,CYRELA REALT,ON      NM,265784616,1.732,16762089.21324745,15.856294082359646,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
DIRR3,DIRECIONAL,ON      NM,107596799,0.641,16762089.21324745,6.419056576489515,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
