ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AERI3,AERIS,ON      NM,66571817,0.076,221673915.01809904,0.30031416639420383,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
AESB3,AES BRASIL,ON      NM,595968614,0.84,221673915.01809904,2.688492301637479,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
ALOS3,ALLOS,ON      NM,667453531,1.875,221673915.01809904,3.0109701041978907,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
ABEV3,AMBEV S/A,ON,1235557643,1.955,221673915.01809904,5.573761995853776,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
AMBP3,AMBIPAR,ON      NM,77132565,0.619,221673915.01809904,0.347955080748686,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
ASAI3,ASSAI,ON      NM,1688085546,1.943,221673915.01809904,7.615174504687088,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
AURE3,AUREN,ON      NM,548278831,0.759,221673915.01809904,2.4733574582071807,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
AZUL4,AZUL,PN  ATZ N2,617160823,0.334,221673915.01809904,2.784093125930539,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
AZZA3,AZZAS 2154,ON      NM,239305852,1.38,221673915.01809904,1.0795399719469083,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
B3SA3,B3,ON      NM,1443017815,2.15,221673915.01809904,6.50964194358268,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
BPAN4,BANCO PAN,PN      N1,571961521,0.747,221673915.01809904,2.5801931677586016,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
BBDC4,BRADESCO,PN  EJ  N1,1235019386,2.362,221673915.01809904,5.571333848184908,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
BBAS3,BRASIL,ON      NM,657079301,2.303,221673915.01809904,2.964170596916427,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
BRFS3,BRF SA,ON      NM,665251935,2.043,221673915.01809904,3.0010384169273325,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
BPAC11,BTGP BANCO,UNT     N2,516280275,2.201,221673915.01809904,2.3290077903746464,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CAML3,CAMIL,ON  EDJ NM,177774544,0.208,221673915.01809904,0.8019642003682987,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CRFB3,CARREFOUR BR,ON      NM,999621985,1.129,221673915.01809904,4.509425409473116,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
BHIA3,CASAS BAHIA,ON      NM,178466242,0.137,221673915.01809904,0.8050845404405329,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CBAV3,CBA,ON      NM,384115000,0.219,221673915.01809904,1.7327929628916334,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CCRO3,CCR SA,ON      NM,1386212763,2.278,221673915.01809904,6.253386930468656,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CEAB3,CEA MODAS,ON      NM,190762443,0.238,221673915.01809904,0.8605543100748899,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CMIG4,CEMIG,PN      N1,1548981185,2.234,221673915.01809904,6.987656553426821,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
COGN3,COGNA ON,ON      NM,3519170257,0.596,221673915.01809904,15.875436930469107,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CSMG3,COPASA,ON      NM,354197094,1.07,221673915.01809904,1.597829379117885,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CPLE6,COPEL,PNB     N2,1809447705,2.388,221673915.01809904,8.162655064093869,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CSAN3,COSAN,ON      NM,1320846795,2.074,221673915.01809904,5.9585125064992726,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CPFE3,CPFL ENERGIA,ON      NM,352831578,1.489,221673915.01809904,1.5916693579900563,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
CYRE3,CYRELA REALT,ON      NM,497494325,1.306,221673915.01809904,2.244261914891434,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
DASA3,DASA,ON      NM,274240310,0.103,221673915.01809904,1.2371338773784415,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
DXCO3,DEXCO,ON      NM,567122454,0.542,221673915.01809904,2.5583635041303623,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
ECOR3,ECORODOVIAS,ON      NM,627708134,0.588,221673915.01809904,2.831673424222013,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
ELET3,ELETROBRAS,ON      N1,436514577,2.22,221673915.01809904,1.9691743025531887,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
ENEV3,ENEVA,ON      NM,1254228212,2.118,221673915.01809904,5.657987372567475,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
EGIE3,ENGIE BRASIL,ON      NM,448899984,2.46,221673915.01809904,2.025046492111391,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
FLRY3,FLEURY,ON      NM,872850406,1.779,221673915.01809904,3.9375422495187773,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
GFSA3,GAFISA,ON      NM,167508946,0.053,221673915.01809904,0.7556547462353582,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
GRND3,GRENDENE,ON      NM,503814169,0.37,221673915.01809904,2.2727715570813327,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
NTCO3,GRUPO NATURA,ON      NM,1335075759,2.212,221673915.01809904,6.0227012226088705,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
GUAR3,GUARARAPES,ON      NM,153970313,0.167,221673915.01809904,0.6945802034823483,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
HYPE3,HYPERA,ON      NM,519988678,1.794,221673915.01809904,2.345736880938582,2024-09-09,2024-09-09,CARTEIRA_TEORICA_B3_ISEE
