ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,621090063,0.871,utilidade_publica,energia_eletrica,energia_eletrica,236987300.0307805,2.6207736149546044,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
ALOS3,ALLOS,ON      NM,589979644,1.708,OTHERS,OTHERS,OTHERS,236987300.0307805,2.489498989706925,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
ABEV3,AMBEV S/A,ON,1074790950,1.671,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,236987300.0307805,4.535225937678532,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
AMBP3,AMBIPAR,ON      NM,109093506,0.198,utilidade_publica,agua_e_saneamento,agua_e_saneamento,236987300.0307805,0.46033481956978567,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
ARZZ3,AREZZO CO,ON      NM,122038707,0.886,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,236987300.0307805,0.5149588479388951,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
ASAI3,ASSAI,ON      NM,1248670125,2.007,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,236987300.0307805,5.268932659420229,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
AURE3,AUREN,ON      NM,591445554,0.907,utilidade_publica,energia_eletrica,energia_eletrica,236987300.0307805,2.495684595432673,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
AZUL4,AZUL,PN      N2,641678902,1.084,bens_industriais,transporte,transporte_aereo,236987300.0307805,2.7076510087952275,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
B3SA3,B3,ON  EDJ NM,1285141797,2.082,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,236987300.0307805,5.422829817602389,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
BPAN4,BANCO PAN,PN  EJ  N1,641826094,0.62,financeiro,intermediarios_financeiros,bancos,236987300.0307805,2.708272105368676,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
BBDC4,BRADESCO,PN  EJ  N1,1145992648,2.177,financeiro,intermediarios_financeiros,bancos,236987300.0307805,4.8356711429311,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
BBAS3,BRASIL,ON      NM,346481240,2.175,financeiro,intermediarios_financeiros,bancos,236987300.0307805,1.4620245049207201,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
BRFS3,BRF SA,ON      NM,1296580191,1.868,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,236987300.0307805,5.471095669816893,2024-01-09,2024-01-09,CARTEIRA_TEORICA_B3_ISEE
