ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,1022624932,1.801,231153013.10485932,4.424017313311423,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AERI3,AERIS,ON      NM,442707834,0.055,231153013.10485932,1.9152155018596786,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AESB3,AES BRASIL,ON      NM,656791667,0.941,231153013.10485932,2.8413718609069383,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ALSO3,ALIANSCSONAE,ON      NM,660998815,1.929,231153013.10485932,2.859572566766184,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AMBP3,AMBIPAR,ON      NM,90799715,0.248,231153013.10485932,0.3928121627331329,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ARZZ3,AREZZO CO,ON      NM,129044326,1.207,231153013.10485932,0.5582636551722596,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ASAI3,ASSAI,ON      NM,1361990348,2.051,231153013.10485932,5.892159179349101,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AZUL4,AZUL,PN      N2,678478680,1.286,231153013.10485932,2.9351928875450897,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
B3SA3,B3,ON      NM,1305764595,2.152,231153013.10485932,5.648918772292439,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BBAS3,BRASIL,ON      NM,380245135,2.289,231153013.10485932,1.6449932012242778,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BBDC4,BRADESCO,PN      N1,1259380994,2.394,231153013.10485932,5.448256880080986,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BEEF3,MINERVA,ON      NM,540649669,0.587,231153013.10485932,2.3389254664603567,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BPAC11,BTGP BANCO,UNT     N2,529126373,2.17,231153013.10485932,2.28907408946458,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BPAN4,BANCO PAN,PN      N1,678657216,0.762,231153013.10485932,2.9359652590474203,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BRFS3,BRF SA,ON      NM,1854873620,2.136,231153013.10485932,8.024440586281965,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BRKM5,BRASKEM,PNA     N1,549848219,1.557,231153013.10485932,2.3787196697737576,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CBAV3,CBA,ON      NM,396246156,0.227,231153013.10485932,1.7142158377154637,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CCRO3,CCR SA,ON      NM,1445443014,2.323,231153013.10485932,6.253186988933149,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CIEL3,CIELO,ON      NM,2268921974,1.112,231153013.10485932,9.815671202048037,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CMIG4,CEMIG,PN      N1,1434703564,2.269,231153013.10485932,6.206726638467684,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
COGN3,COGNA ON,ON      NM,3760268021,1.437,231153013.10485932,16.26744107936074,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CPFE3,CPFL ENERGIA,ON      NM,388824755,1.718,231153013.10485932,1.6821098275003454,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CPLE6,COPEL,PNB     N2,2110341587,2.344,231153013.10485932,9.129630449777755,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CSAN3,COSAN,ON      NM,954793371,2.172,231153013.10485932,4.130568570901005,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
DASA3,DASA,ON      NM,294674236,0.398,231153013.10485932,1.274801621843126,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
DXCO3,DEXCO,ON      NM,627623274,0.653,231153013.10485932,2.715185346579443,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ECOR3,ECORODOVIAS,ON      NM,691066456,0.683,231153013.10485932,2.9896493526844377,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
EGIE3,ENGIE BRASIL,ON      NM,447899343,2.395,231153013.10485932,1.9376746899544708,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ELET3,ELETROBRAS,ON      N1,497386363,2.235,231153013.10485932,2.1517624032630183,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ENEV3,ENEVA,ON      NM,1431955626,2.19,231153013.10485932,6.1948386774885495,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
FLRY3,FLEURY,ON      NM,715118929,1.337,231153013.10485932,3.093703687416769,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
GFSA3,GAFISA,ON      NM,126579831,0.08,231153013.10485932,0.5476019079300465,SET/2023 ATE DEZ/2023,2023-09-17,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
